StartLocationLat,StartLocationLon,EndLocationLat,EndLocationLon,StartTime,EndTime,Distance,ActivityType
487434883,22895200,487579117,22704911,1512111870438,1512112740334,1252,IN_PASSENGER_VEHICLE
487579117,22704911,487434883,22895200,1512144091739,1512148364969,498,WALKING
487434883,22895200,488475542,23015916,1512208923809,1512211295049,15119,IN_PASSENGER_VEHICLE
488475156,23029977,488418730,23212470,1512211295049,1512213429693,1755,IN_SUBWAY
488410203,23203779,487933659,22974249,1512216700738,1512218164088,1570,WALKING
488009328,22986244,487510255,22907200,1512218164088,1512222226535,5579,IN_PASSENGER_VEHICLE
487510255,22907200,487434883,22895200,1512222226535,1512223675816,604,CYCLING
487434883,22895200,487474056,22696119,1512249271183,1512253218753,819,CYCLING
487474056,22696119,487433360,22894844,1512302787195,1512303268611,55,CYCLING
487433360,22894844,487434883,22895200,1512303268611,1512391026751,,UNKNOWN_ACTIVITY_TYPE
487434883,22895200,487553077,22762188,1512391026751,1512391736902,1635,CYCLING
487551427,22763988,487579117,22704911,1512391736902,1512395668024,550,WALKING
487579117,22704911,487561474,22753823,1512399127010,1512405860786,429,WALKING
487561474,22753823,487434883,22895200,1512405860786,1512406117629,61,CYCLING
487434883,22895200,487434883,22895200,1512406117629,1512459144080,,UNKNOWN_ACTIVITY_TYPE
487434883,22895200,487522924,22800713,1512459144080,1512463847457,902,CYCLING
487522924,22800713,487579117,22704911,1512463847457,1512467393000,912,IN_PASSENGER_VEHICLE
487579117,22704911,487633688,22723963,1512473053033,1512484387254,353,WALKING
487633688,22723963,487434883,22895200,1512489012226,1512490937185,210,CYCLING
487434883,22895200,487434883,22895200,1512490937185,1512544925652,,UNKNOWN_ACTIVITY_TYPE
487434883,22895200,487579117,22704911,1512544925652,1512546023350,1236,IN_PASSENGER_VEHICLE
487579117,22704911,487582817,22708235,1512569379999,1512569755135,5,WALKING
487582817,22708235,487434883,22895200,1512575806541,1512579264366,2337,WALKING
487434883,22895200,487483458,22839634,1512628347545,1512630484652,646,CYCLING
487483458,22839634,487579117,22704911,1512630484652,1512639943752,1405,IN_PASSENGER_VEHICLE
487579117,22704911,487434883,22895200,1512655496760,1512663433173,1003,CYCLING
487434883,22895200,487451199,22865564,1512665920109,1512667560461,13,CYCLING
487434883,22895200,487579117,22704911,1512717896775,1512718398999,1394,IN_PASSENGER_VEHICLE
487579117,22704911,487434883,22895200,1512745879982,1512752386572,2110,WALKING
487434883,22895200,487443503,22820120,1512755376163,1512755587998,83,WALKING
487442963,22824503,487458735,22678813,1512755587998,1512760687911,1035,CYCLING
487458735,22678813,487449102,22771866,1512761484235,1512762491020,535,IN_PASSENGER_VEHICLE
487449724,22766817,487436264,22876107,1512762491020,1512763093951,754,CYCLING
487437275,22867903,487434883,22895200,1512763093951,1512763585482,205,IN_PASSENGER_VEHICLE
487434883,22895200,487551433,22650630,1512769458088,1512770425000,1627,CYCLING
487551433,22650630,487530691,22696057,1512781389536,1512782997983,301,IN_PASSENGER_VEHICLE
487536605,22684054,487434883,22895200,1512782997983,1512783418945,109,CYCLING
487434183,22893719,487801440,22672950,1512852611000,1512853360575,4359,IN_PASSENGER_VEHICLE
487801440,22672950,487439735,22913145,1512867106576,1512868567952,5355,IN_PASSENGER_VEHICLE
487439735,22913145,487434883,22895200,1512868567952,1512977056616,,UNKNOWN_ACTIVITY_TYPE
487434883,22895200,487579117,22704911,1512977056616,1512978308826,1264,IN_PASSENGER_VEHICLE
487579117,22704911,487434883,22895200,1513006980014,1513017167920,2515,IN_PASSENGER_VEHICLE
487434883,22895200,487434883,22895200,1513017167920,1513063402539,,UNKNOWN_ACTIVITY_TYPE
487434883,22895200,487579117,22704911,1513063402539,1513072629523,930,CYCLING
487579117,22704911,487633688,22723963,1513087663966,1513089622985,116,WALKING
487633688,22723963,487516405,22750849,1513093830225,1513097813999,862,WALKING
487516556,22745302,487434883,22895200,1513098913577,1513099671524,473,IN_PASSENGER_VEHICLE
487434883,22895200,487579117,22704911,1513156036834,1513158739088,924,CYCLING
487579117,22704911,487506993,22808370,1513174935698,1513181291110,1263,IN_PASSENGER_VEHICLE
487506993,22808370,487470804,22849784,1513181291110,1513182161279,504,CYCLING
487470804,22849784,487434883,22895200,1513182161279,1513182364954,520,IN_PASSENGER_VEHICLE
487434883,22895200,487579117,22704911,1513233134607,1513233467817,2127,CYCLING
487585559,22667061,487587652,22672356,1513250600692,1513252259591,,UNKNOWN_ACTIVITY_TYPE
487579117,22704911,487434883,22895200,1513267547336,1513268498580,354,CYCLING
487434883,22895200,487434883,22895200,1513268498580,1513322716052,,UNKNOWN_ACTIVITY_TYPE
487434883,22895200,487579117,22704911,1513322716052,1513323924413,1867,CYCLING
487579117,22704911,487433360,22894844,1513355504949,1513356536105,203,CYCLING
487433360,22894844,487437363,22902544,1513356536105,1513582067074,,UNKNOWN_ACTIVITY_TYPE
487437363,22902544,487579117,22704911,1513582067074,1513582681005,382,CYCLING
487579117,22704911,487437363,22902544,1513591269999,1513598662424,698,CYCLING
487437363,22902544,487437363,22902544,1513598662424,1513668066119,,UNKNOWN_ACTIVITY_TYPE
487437363,22902544,487437363,22902544,1513668066119,1513682519197,3480,CYCLING
487437363,22902544,487437363,22902544,1513682519197,1513763091654,,UNKNOWN_ACTIVITY_TYPE
487437363,22902544,487579117,22704911,1513763091654,1513768056357,350,IN_PASSENGER_VEHICLE
487579117,22704911,487437363,22902544,1513782745737,1513786708062,275,IN_PASSENGER_VEHICLE
487437363,22902544,487582933,22658989,1513792045630,1513796106345,103,IN_PASSENGER_VEHICLE
487582933,22658989,487579117,22704911,1513796106345,1513796364925,339,WALKING
487579117,22704911,487437363,22902544,1513801741388,1513803466275,552,IN_PASSENGER_VEHICLE
487436905,22901642,487466718,22859014,1513837236154,1513838223203,190,IN_PASSENGER_VEHICLE
487466718,22859014,487626935,22416111,1513838223203,1513838584900,116,CYCLING
487626935,22416111,487579117,22704911,1513845021405,1513849953566,509,WALKING
487579117,22704911,487653670,22644529,1513850422883,1513854816698,669,WALKING
487653670,22644529,487626935,22416111,1513857805861,1513860407783,896,WALKING
487626935,22416111,487436905,22901642,1513867126659,1513873062850,638,CYCLING
487436905,22901642,487436905,22901642,1513873062850,1513927356157,,UNKNOWN_ACTIVITY_TYPE
487436905,22901642,487626935,22416111,1513927356157,1513935817377,1279,IN_PASSENGER_VEHICLE
487626935,22416111,487579117,22704911,1513939900488,1513940111999,22,IN_PASSENGER_VEHICLE
487584301,22719618,487586983,22666386,1513944812308,1513948612846,,UNKNOWN_ACTIVITY_TYPE
487579117,22704911,487406780,22737160,1513951272682,1513958557165,2021,WALKING
487406780,22737160,487433730,22894739,1513958945790,1513959825696,618,WALKING
487433360,22894844,487458735,22678813,1513964036401,1513967507678,1306,CYCLING
487458735,22678813,487554336,22721867,1513970522880,1513973055363,1048,IN_PASSENGER_VEHICLE
487548431,22718848,487436905,22901642,1513973055363,1513973739147,521,CYCLING
487436905,22901642,487474056,22696119,1513979703116,1513981467077,897,CYCLING
487474056,22696119,487957276,22954960,1513981914781,1513983124861,1247,IN_PASSENGER_VEHICLE
488010585,22973067,487500808,22719157,1513993526338,1513994473999,5306,IN_PASSENGER_VEHICLE
487474056,22696119,487457814,22820444,1514026608397,1514027081529,171,IN_PASSENGER_VEHICLE
487459687,22814424,487433360,22894844,1514027081529,1514027459601,274,CYCLING
487435044,22896090,487587635,23664710,1514037953609,1514041602764,8331,IN_PASSENGER_VEHICLE
487587635,23664710,487566297,23719940,1514045307920,1514050105871,75,WALKING
487566297,23719940,487433360,22894844,1514050586908,1514054147429,884,IN_PASSENGER_VEHICLE
487433360,22894844,487433360,22894844,1514054147429,1514132316055,,UNKNOWN_ACTIVITY_TYPE
487433360,22894844,487500511,22944209,1514132316055,1514135602782,730,CYCLING
487497296,22941581,487549066,23010135,1514135602782,1514137726000,689,IN_PASSENGER_VEHICLE
487549066,23010135,487543980,22959963,1514138546084,1514139555821,360,WALKING
487543980,22959963,487524457,22948492,1514139555821,1514139881192,196,CYCLING
487527533,22950299,487436905,22901642,1514139881192,1514142484318,1138,IN_PASSENGER_VEHICLE
487436905,22901642,487436905,22901642,1514142484318,1514209200000,,UNKNOWN_ACTIVITY_TYPE
487436905,22901642,487490655,22786941,1514209200000,1514214332309,987,IN_PASSENGER_VEHICLE
487490655,22786941,487579117,22704911,1514214332309,1514215005782,302,CYCLING
487579117,22704911,487577881,22770955,1514216101952,1514217632999,800,WALKING
487577881,22770955,487579117,22704911,1514217632999,1514219389363,484,IN_PASSENGER_VEHICLE
487579117,22704911,487551875,22722738,1514223454181,1514223740585,193,IN_PASSENGER_VEHICLE
487553312,22720580,487436905,22901642,1514223740585,1514224391038,1196,CYCLING
487436905,22901642,487432666,22898355,1514224391038,1514374579999,,UNKNOWN_ACTIVITY_TYPE
487433360,22894844,487324656,23230587,1514382856532,1514385227037,6,IN_PASSENGER_VEHICLE
487324656,23230587,487433360,22894844,1514388483356,1514405118632,26,IN_PASSENGER_VEHICLE
487433360,22894844,487457203,23037832,1514450434520,1514453287491,1075,IN_PASSENGER_VEHICLE
487457203,23037832,487433360,22894844,1514458001430,1514458927060,1007,IN_PASSENGER_VEHICLE
487433360,22894844,487808091,22216570,1514467136024,1514472814239,5289,IN_PASSENGER_VEHICLE
487808091,22216570,487468480,22910465,1514476894370,1514480705404,4310,IN_PASSENGER_VEHICLE
487468480,22910465,487433360,22894844,1514483036696,1514486191007,2269,IN_PASSENGER_VEHICLE
487433360,22894844,487433360,22894844,1514486191007,1514553206473,,UNKNOWN_ACTIVITY_TYPE
487433360,22894844,487579117,22704911,1514553206473,1514554277315,803,IN_PASSENGER_VEHICLE
487579117,22704911,487520008,22724707,1514562346292,1514563048995,196,WALKING
487520008,22724707,487536171,22959395,1514563048995,1514563676078,1046,IN_PASSENGER_VEHICLE
487536171,22959395,487536831,22959361,1514563676078,1514563736433,7,WALKING
487536831,22959361,487579117,22704911,1514565136029,1514568134000,2225,IN_PASSENGER_VEHICLE
487579117,22704911,487433360,22894844,1514568739651,1514570767186,2898,IN_PASSENGER_VEHICLE
487433360,22894844,487464278,22969956,1514571883136,1514576494209,681,IN_PASSENGER_VEHICLE
487464278,22969956,487783165,22860396,1514577119522,1514579075163,3214,IN_PASSENGER_VEHICLE
487783165,22860396,487874671,22868239,1514579075163,1514583529609,2268,WALKING
487868727,22858901,487874088,22864501,1514590689325,1514599070303,,UNKNOWN_ACTIVITY_TYPE
487874671,22868239,487811755,22733568,1514605491950,1514607251999,1545,WALKING
487819116,22791901,487811999,22734183,1514624419786,1514631060470,,UNKNOWN_ACTIVITY_TYPE
487811755,22733568,487432186,22895796,1514632483615,1514633342999,5281,IN_PASSENGER_VEHICLE
487433360,22894844,487457203,23037832,1514648999553,1514655037999,803,IN_PASSENGER_VEHICLE
487457203,23037832,487436905,22901642,1514658568531,1514664881647,808,IN_PASSENGER_VEHICLE
487436905,22901642,487457203,23037832,1514708632101,1514713240153,9,IN_PASSENGER_VEHICLE
487457203,23037832,487433360,22894844,1514716916706,1514727837613,18,IN_PASSENGER_VEHICLE
487433360,22894844,487442565,22711030,1514732728569,1514742405697,1361,IN_PASSENGER_VEHICLE
487442565,22711030,487447831,22683126,1514742405697,1514745012419,367,CYCLING
487447831,22683126,487529760,22719400,1514764793502,1514779318000,2080,IN_PASSENGER_VEHICLE
