StartLocationLat,StartLocationLon,EndLocationLat,EndLocationLon,StartTime,EndTime,Distance,ActivityType
487440251,22904726,487433739,22896085,1530565742284,1530566735007,389,WALKING
487424700,22876333,487436144,22890698,1530568075500,1530569202619,,UNKNOWN_ACTIVITY_TYPE
487433982,22896965,487579117,22704911,1530605400016,1530606098504,2148,CYCLING
487570967,22689761,487433739,22896085,1530609009649,1530609448919,2185,CYCLING
487433739,22896085,487483332,23042713,1530633660808,1530633971181,1210,CYCLING
487483413,23039737,487698204,23164907,1530635831847,1530637197679,4728,CYCLING
487699237,23163469,487433739,22896085,1530637840284,1530639085310,4094,CYCLING
487433739,22896085,487433739,22896085,1530639085310,1530721075025,,UNKNOWN_ACTIVITY_TYPE
487433739,22896085,487483332,23042713,1530721075025,1530721530569,1216,CYCLING
487483332,23042713,487464278,22969956,1530722571608,1530722736813,619,IN_PASSENGER_VEHICLE
487465033,22969944,487434417,22895732,1530723274184,1530723523595,635,CYCLING
487444258,22900456,487465812,22897027,1530735504000,1530736696999,605,WALKING
487453906,22897228,487437222,22897885,1530742746939,1530744294907,174,WALKING
487433739,22896085,487622057,22835007,1530783543338,1530784211075,2158,CYCLING
487622186,22841032,487433674,22895284,1530785942867,1530793314926,21945,IN_PASSENGER_VEHICLE
487433739,22896085,487433739,22896085,1530803811092,1530809360054,1018,RUNNING
487433739,22896085,487434659,22896366,1530809360054,1530869050866,,UNKNOWN_ACTIVITY_TYPE
487434659,22896366,487531686,22989581,1530869050866,1530869423803,1360,CYCLING
487534859,22998582,487579117,22704911,1530872113999,1530873609818,1390,CYCLING
487579117,22704911,487526510,22712975,1530875972508,1530876867948,233,IN_PASSENGER_VEHICLE
487526510,22712975,487488692,22787472,1530877372181,1530882380714,435,IN_PASSENGER_VEHICLE
487505962,22752836,487433739,22896085,1530882380714,1530884692023,1345,CYCLING
487414763,22897114,487430025,22876693,1530892610431,1530894868999,1348,WALKING
487434870,22896661,487920680,22868931,1530900669789,1530902334176,5387,IN_PASSENGER_VEHICLE
487915461,22865912,487882145,22675578,1530906170000,1530907952348,1059,IN_PASSENGER_VEHICLE
487890176,22680590,487909074,22727525,1530931484867,1530932265011,416,WALKING
487907978,22726202,487566329,22701402,1530932265011,1530932895052,4405,IN_PASSENGER_VEHICLE
487559232,22694254,487433608,22896140,1530933714000,1530934345649,2307,CYCLING
487433979,22895978,487516556,22745302,1530970244658,1530970921933,588,IN_PASSENGER_VEHICLE
487516556,22745302,487205638,22772250,1530971783806,1530972902426,1351,IN_PASSENGER_VEHICLE
487206413,22750173,487435937,22895610,1530973601333,1530974223849,2176,IN_PASSENGER_VEHICLE
487435937,22895610,487435501,22890443,1530974223849,1531153006000,,UNKNOWN_ACTIVITY_TYPE
487435501,22890443,487261114,22615247,1531153006000,1531153598220,2883,IN_PASSENGER_VEHICLE
487263357,22622092,487433739,22896085,1531154656733,1531155582260,2784,IN_PASSENGER_VEHICLE
487433739,22896085,487526423,23006784,1531159033000,1531159442898,1389,IN_PASSENGER_VEHICLE
487524660,23007854,487433912,22896085,1531160714659,1531161219764,1381,IN_PASSENGER_VEHICLE
487433912,22896085,487433739,22896085,1531161219764,1531240802161,,UNKNOWN_ACTIVITY_TYPE
487433739,22896085,487529559,22718272,1531240802161,1531242003228,3425,CYCLING
487529760,22719400,487562268,22656751,1531242457871,1531243606518,765,WALKING
487551433,22650630,487579117,22704911,1531253464490,1531253597031,281,WALKING
487570225,22699411,487551433,22650630,1531254061483,1531255596999,1561,WALKING
487551433,22650630,487553048,22651618,1531256642536,1531262067616,1905,WALKING
487553110,22651648,487432428,22893697,1531273120062,1531273655155,2225,IN_PASSENGER_VEHICLE
487433739,22896085,487619220,22847000,1531381390440,1531389706638,15145,IN_PASSENGER_VEHICLE
487620661,22845911,487433739,22896085,1531391379000,1531392185999,2233,CYCLING
487433739,22896085,487541161,23012638,1531392991378,1531399058247,1468,CYCLING
487541161,23012638,487433739,22896085,1531402062419,1531402626915,1468,CYCLING
487433739,22896085,487816365,23012243,1531417323610,1531419755815,4334,IN_PASSENGER_VEHICLE
487816365,23012243,487433739,22896085,1531423883657,1531424931669,4332,IN_PASSENGER_VEHICLE
487433739,22896085,487538605,23035643,1531486191450,1531487079882,654,CYCLING
487538605,23035643,487471301,22673160,1531489611524,1531491490999,3703,CYCLING
487471301,22673160,487433739,22896085,1531491955169,1531493579000,2440,CYCLING
487438372,22900142,487433739,22896085,1531517727000,1531520106508,59,WALKING
