StartLocationLat,StartLocationLon,EndLocationLat,EndLocationLon,StartTime,EndTime,Distance,ActivityType
487434349,22895987,487579117,22704911,1525257379130,1525258635637,2116,CYCLING
487579117,22704911,487456093,22606061,1525273872714,1525275044917,476,CYCLING
487456093,22606061,487454351,22648540,1525277471738,1525278270946,281,WALKING
487454351,22648540,487445163,22759628,1525278270946,1525279574518,786,CYCLING
487445554,22754910,487434349,22895987,1525279574518,1525284510311,1044,IN_PASSENGER_VEHICLE
487434349,22895987,487434349,22895987,1525284510311,1525326549585,,UNKNOWN_ACTIVITY_TYPE
487434349,22895987,487579117,22704911,1525326549585,1525329660999,2162,IN_PASSENGER_VEHICLE
487581311,22707258,487434349,22895987,1525360328000,1525362174999,2382,WALKING
487434349,22895987,487433609,22896273,1525362174999,1525451939730,,UNKNOWN_ACTIVITY_TYPE
487433609,22896273,487458735,22678813,1525451939730,1525452517697,2190,CYCLING
487460176,22684280,487443074,22687126,1525457108381,1525458109897,,UNKNOWN_ACTIVITY_TYPE
487458735,22678813,487455889,22704044,1525462348758,1525462653970,129,IN_PASSENGER_VEHICLE
487456582,22698065,487445561,22793210,1525462653970,1525463591868,639,MOTORCYCLING
487445561,22793210,487434349,22895987,1525463591868,1525465570000,839,IN_PASSENGER_VEHICLE
487434349,22895987,488102927,23335323,1525502529691,1525505133357,8815,IN_PASSENGER_VEHICLE
488102927,23335323,488089391,23339457,1525505133357,1525505276316,153,WALKING
488082438,23338352,487454615,22832391,1525531631000,1525533810285,12269,IN_PASSENGER_VEHICLE
487452916,22841592,487434349,22895987,1525533810285,1525534322407,793,CYCLING
487434349,22895987,487468480,22910465,1525556826788,1525557904000,354,WALKING
487455780,22878193,487548848,23012821,1525558889314,1525560572965,2033,WALKING
487549066,23010135,487434349,22895987,1525561579953,1525565403000,1858,WALKING
487464472,22965084,487434349,22895987,1525565403000,1525565742999,655,RUNNING
487434349,22895987,487383039,22871370,1525859674363,1525861204080,1260,WALKING
487396810,22876680,488077100,23331573,1525861204080,1525862059999,8809,IN_TRAIN
488069243,23323508,488089391,23339457,1525862059999,1525862301000,413,WALKING
488077100,23331573,487984086,23279004,1525879241000,1525879318000,1164,IN_TRAIN
487984086,23279004,487901050,23368780,1525879694000,1525880448038,1150,WALKING
487901050,23368780,487984086,23279004,1525884344084,1525887284000,1354,WALKING
487984086,23279004,487549066,23010135,1525888004341,1525888508230,5562,IN_TRAIN
487606279,23031499,487434349,22895987,1525888508230,1525889917029,2154,WALKING
487434349,22895987,487532728,22963989,1525890526573,1525892782981,1278,IN_PASSENGER_VEHICLE
487532728,22963989,487474056,22696119,1525893777596,1525896117000,2006,IN_PASSENGER_VEHICLE
487474056,22696119,487579117,22704911,1525916582331,1525926086358,58,WALKING
487579117,22704911,487434349,22895987,1525927071755,1525950129670,1489,IN_PASSENGER_VEHICLE
487434349,22895987,487434349,22895987,1525950129670,1526056526118,,UNKNOWN_ACTIVITY_TYPE
487434349,22895987,487441764,22820775,1526056526118,1526058398933,559,CYCLING
487441764,22820775,487383310,22674640,1526058398933,1526061590496,690,IN_PASSENGER_VEHICLE
487383310,22674640,487434349,22895987,1526063227356,1526064093775,1663,IN_PASSENGER_VEHICLE
487434349,22895987,487434349,22895987,1526064093775,1526124954701,,UNKNOWN_ACTIVITY_TYPE
487434349,22895987,487451199,22865564,1526124954701,1526126571022,212,WALKING
487451199,22865564,487434349,22895987,1526130298348,1526131132340,339,WALKING
487434349,22895987,487396080,22875620,1526132562984,1526133321076,103,WALKING
487396080,22875620,487932857,23211184,1526134208767,1526135651463,6814,IN_TRAIN
487922980,23183554,488580504,23525978,1526135651463,1526140073599,7729,WALKING
488580504,23525978,487434349,22895987,1526141817800,1526150061920,14370,IN_PASSENGER_VEHICLE
487434349,22895987,487579117,22704911,1526250744086,1526283633027,1647,IN_PASSENGER_VEHICLE
487583382,22718587,487529760,22719400,1526294956165,1526296434472,601,IN_PASSENGER_VEHICLE
487529760,22719400,487579117,22704911,1526296764174,1526299146581,595,WALKING
487579117,22704911,487434349,22895987,1526305703127,1526313985999,2516,WALKING
487434349,22895987,487434349,22895987,1526313985999,1526364918760,,UNKNOWN_ACTIVITY_TYPE
487434349,22895987,487579117,22704911,1526364918760,1526367723093,1020,IN_PASSENGER_VEHICLE
487582731,22719555,487490650,22785656,1526388518987,1526391061144,565,IN_PASSENGER_VEHICLE
487490650,22785656,487432638,22885374,1526395464308,1526396576999,634,WALKING
487434349,22895987,487589073,22727159,1526457652031,1526461111775,576,WALKING
487583643,22718374,487434349,22895987,1526482727013,1526486694113,2116,CYCLING
487433977,22892701,487582043,22712190,1526538779614,1526539453754,2274,CYCLING
487581674,22714289,487434349,22895987,1526568695944,1526569123808,2078,IN_PASSENGER_VEHICLE
487433931,22891090,487585846,22717262,1526624596295,1526625256156,2175,IN_PASSENGER_VEHICLE
487583613,22718392,487529760,22719400,1526637016147,1526637821094,729,WALKING
487557636,22693349,487583819,22715142,1526640517016,1526640826056,376,WALKING
487576984,22697178,487431616,22884904,1526656788102,1526658828999,2534,WALKING
487433595,22895740,487441331,22785142,1526661094787,1526663871555,836,CYCLING
487441331,22785142,487458735,22678813,1526663871555,1526664057251,803,IN_PASSENGER_VEHICLE
487459904,22680429,487434349,22895987,1526673704715,1526674482238,2137,CYCLING
487434349,22895987,487434349,22895987,1526674482238,1526731172816,,UNKNOWN_ACTIVITY_TYPE
487434349,22895987,487451199,22865564,1526731172816,1526731295916,471,IN_PASSENGER_VEHICLE
487450346,22854600,487434349,22895987,1526735239984,1526735486889,278,CYCLING
487432035,22883839,487565994,22701969,1526751100932,1526751610315,2290,CYCLING
487565994,22701969,487565994,22701969,1526751610315,1526813257752,,UNKNOWN_ACTIVITY_TYPE
487565994,22701969,487433486,22898592,1526813257752,1526813690762,2061,CYCLING
487431488,22882853,487579117,22704911,1526970583264,1526971211697,2440,CYCLING
487578953,22702057,487434349,22895987,1526980457974,1526980865420,2335,CYCLING
487432104,22883853,487572406,22697545,1527056225279,1527056677023,2218,IN_PASSENGER_VEHICLE
487585616,22732353,487433578,22895620,1527070994282,1527092421056,2071,WALKING
487434349,22895987,487582479,22714979,1527157786079,1527159734496,2119,CYCLING
