StartLocationLat,StartLocationLon,EndLocationLat,EndLocationLon,StartTime,EndTime,Distance,ActivityType
487543677,22871748,487433739,22895393,1541042025197,1541042522335,1724,CYCLING
487434301,22892521,487911279,23432918,1541171791999,1541174158600,8441,IN_PASSENGER_VEHICLE
487912890,23433097,487903704,23382617,1541176534837,1541177574902,387,IN_PASSENGER_VEHICLE
487903704,23382617,487433528,22895573,1541184156386,1541186809424,16419,IN_PASSENGER_VEHICLE
487433739,22895393,487565676,22702587,1541190696182,1541192180376,2079,IN_PASSENGER_VEHICLE
487565699,22702212,487433739,22895393,1541193123377,1541195332220,2073,IN_PASSENGER_VEHICLE
487433739,22895393,487433767,22896047,1541255472310,1541256481983,4241,IN_PASSENGER_VEHICLE
487433822,22895634,487457009,22983662,1541397315007,1541397883000,695,WALKING
487435325,22965289,487896230,23636654,1541397883000,1541401607156,21785,IN_TRAIN
487887337,23637327,487884251,23657239,1541430088275,1541430297562,195,WALKING
487880210,23668188,488620508,23471532,1541430578698,1541432402086,8356,IN_SUBWAY
488613490,23474291,487397457,22881400,1541433279426,1541434442473,14861,IN_TRAIN
487399041,22886013,487425871,22901268,1541434442473,1541435012000,849,WALKING
487433739,22895393,487887337,23637327,1541483954947,1541487236243,17702,IN_TRAIN
487887829,23638189,487876521,23676349,1541508515960,1541508816317,321,WALKING
487876404,23676394,487396549,22892576,1541508816317,1541511701831,17009,IN_BUS
487406146,22907157,487404564,22883205,1541511701831,1541512476061,628,WALKING
487404564,22883205,487468083,22951819,1541512476061,1541512716005,871,CYCLING
487467913,22951655,487433739,22895393,1541516072960,1541516321808,563,CYCLING
487433739,22895393,487875457,23134308,1541582658944,1541593140320,5897,IN_PASSENGER_VEHICLE
487742630,23063488,488300777,23507010,1541593140320,1541594306000,7933,IN_SUBWAY
487886671,23644475,487877011,23676914,1541617529731,1541618143290,270,WALKING
487877011,23676914,487443108,22974497,1541618143290,1541621465999,17625,IN_TRAIN
487461146,22986395,487433739,22895393,1541621465999,1541622079359,733,WALKING
487433739,22895393,487403421,22903814,1541684649451,1541685309962,778,WALKING
487403421,22903814,487963721,23642329,1541685309962,1541688121148,16356,IN_TRAIN
487991403,23631918,487897400,23634832,1541688121148,1541689035791,1045,WALKING
487895820,23635973,487884846,23647135,1541702940017,1541703230594,157,WALKING
487884877,23656867,487433697,22896047,1541703602499,1541708463114,32620,IN_TRAIN
487433739,22895393,487929908,23630435,1541743141470,1541745678698,14827,IN_TRAIN
487959970,23682500,487866400,23671290,1541745678698,1541746190840,1094,IN_SUBWAY
487876976,23676778,488173442,23376204,1541768761043,1541770600370,8133,IN_SUBWAY
488269074,23359626,487549066,23010135,1541770600370,1541771577704,8727,IN_TRAIN
487549066,23010135,487433739,22895393,1541772253355,1541773807562,1741,WALKING
487433739,22895393,487457914,22832236,1541774309278,1541774451111,601,IN_PASSENGER_VEHICLE
487457914,22832236,487433160,22894713,1541774869621,1541775691098,2009,CYCLING
487432049,22883905,487566166,22702337,1541785270394,1541785786852,2142,CYCLING
487566149,22702305,487551433,22650630,1541794595772,1541794995814,449,WALKING
487552707,22651587,487433354,22896682,1541811427539,1541812247134,2406,CYCLING
487433739,22895393,487395585,22875477,1541857497535,1541858107999,619,WALKING
487395585,22875477,488147727,23409799,1541858107999,1541859249000,9621,IN_TRAIN
488209949,23389700,487421729,22939197,1541860548000,1541862002070,9854,IN_TRAIN
487425307,22951425,487433669,22895880,1541862002070,1541862630899,1032,WALKING
487431582,22895347,487396127,22874454,1541954156871,1541954545728,564,WALKING
487396127,22874454,487433739,22895393,1541955195999,1541955443999,445,WALKING
487431795,22895199,487887337,23637327,1542002297551,1542005885000,17426,IN_TRAIN
487887337,23637327,487399793,22903661,1542037562628,1542040561893,17941,IN_SUBWAY
487398942,22907870,487425423,22902264,1542040561893,1542041123999,604,WALKING
487433871,22895579,487463705,22976739,1542088620706,1542089069817,681,WALKING
487425893,22959523,487983898,23278876,1542089069817,1542089909854,6833,IN_TRAIN
487991325,23281447,487877808,23672573,1542090233999,1542092308035,9177,IN_BUS
487881637,23669661,487896243,23636542,1542092308035,1542092731684,434,WALKING
487887337,23637327,487888313,23507510,1542113989720,1542114790973,1241,WALKING
487878709,23513574,487884251,23657239,1542119998000,1542120918707,1208,WALKING
487884856,23656642,487398548,22886078,1542121293747,1542124440999,21300,IN_BUS
487401242,22891727,487426748,22901053,1542124440999,1542124963999,729,WALKING
487434190,22895701,487425536,22926289,1542187817766,1542188399168,244,WALKING
487408313,22886705,488218935,23416336,1542188399168,1542189646388,9978,IN_TRAIN
488218337,23416162,487891579,23637395,1542189646388,1542191980448,6445,IN_SUBWAY
487890306,23637589,487425505,22901444,1542221183429,1542225292999,19109,IN_TRAIN
487434000,22895988,487396127,22874454,1542282852451,1542283205000,594,WALKING
487403159,22881479,488162112,23405115,1542283754000,1542284857146,10362,IN_TRAIN
488162112,23405115,487887337,23637327,1542285345312,1542286757483,4007,IN_SUBWAY
487895921,23636243,487956345,23625812,1542300146351,1542303480900,1039,WALKING
487936416,23634470,487433780,22896853,1542303480900,1542322344964,18417,IN_SUBWAY
487433739,22895393,487456183,22984184,1542347996018,1542349059266,1220,WALKING
487430593,22959335,487893521,23635643,1542349059266,1542352159508,15788,IN_TRAIN
487913019,23635896,488110311,23327288,1542380005380,1542382782778,4897,WALKING
488110311,23327288,487491524,22993083,1542382782778,1542383590999,,UNKNOWN_ACTIVITY_TYPE
487491524,22993083,487433739,22895393,1542383590999,1542384412434,962,IN_PASSENGER_VEHICLE
487433405,22892449,487520269,23116066,1542402705291,1542403334004,1953,CYCLING
487517756,23119676,487446670,22671040,1542413798493,1542415103173,3475,CYCLING
487447299,22680849,487441286,22785703,1542455658571,1542455920326,771,IN_PASSENGER_VEHICLE
487444619,22727603,487433739,22895393,1542455920326,1542458805775,1236,CYCLING
487433739,22895393,487433739,22895393,1542469362377,1542481023717,2379,IN_PASSENGER_VEHICLE
487433739,22895393,487438023,23006555,1542546686999,1542548299005,1222,IN_PASSENGER_VEHICLE
487438023,23006555,487453383,22998546,1542552517999,1542552784431,459,WALKING
487456892,23025030,487439264,22892046,1542552784431,1542556080830,994,IN_PASSENGER_VEHICLE
487425259,22901847,487420629,22946535,1542607048000,1542607372359,463,WALKING
487412336,22921158,487889288,23637518,1542607372359,1542610531999,17652,IN_TRAIN
487891579,23637395,487433739,22895393,1542624100400,1542641074928,16235,IN_PASSENGER_VEHICLE
487428960,22898666,487878861,23667546,1542693838000,1542697304239,16098,IN_SUBWAY
487894207,23638083,487431288,22897555,1542703407505,1542726282810,17280,IN_PASSENGER_VEHICLE
487433739,22895393,487396127,22874454,1542800516683,1542801248409,662,WALKING
487396127,22874454,488327982,23333240,1542802182999,1542803669999,11413,IN_TRAIN
488326964,23332849,487893413,23636719,1542803669999,1542806515916,5716,IN_SUBWAY
487887337,23637327,487884128,23656730,1542826767822,1542826805096,151,WALKING
487884128,23656730,488631399,23437949,1542827645399,1542830599635,8717,IN_SUBWAY
488631399,23437949,488631915,23461440,1542830599635,1542831238000,769,WALKING
488643971,23468758,487823991,24709036,1542837379261,1542839162145,14542,IN_PASSENGER_VEHICLE
487823991,24709036,487800785,24593435,1542887665796,1542888842438,1337,WALKING
487800785,24593435,487887337,23637327,1542888842438,1542891961771,16878,IN_SUBWAY
487889771,23638063,487398687,22880501,1542909123071,1542912219557,30469,IN_TRAIN
487403370,22894531,487433739,22895393,1542912219557,1542912627000,337,WALKING
487424841,22902061,487396127,22874454,1542952912999,1542953131999,378,WALKING
487396127,22874454,487899943,23659471,1542953721570,1542956132310,16701,IN_TRAIN
487930976,23641684,487896162,23637037,1542956132310,1542956587638,388,WALKING
487887337,23637327,487888313,23507510,1542973432999,1542974162999,1154,WALKING
487887845,23506201,487868361,23522020,1542975122096,1542981740311,670,WALKING
487870330,23529822,487433987,22896244,1542981740311,1542990694562,6730,IN_PASSENGER_VEHICLE
487435005,22892756,487583237,22717071,1542994885319,1543001447617,2322,IN_PASSENGER_VEHICLE
487583237,22717071,487433739,22895393,1543003061158,1543004576773,2757,IN_PASSENGER_VEHICLE
487433739,22895393,487433739,22895393,1543005374976,1543008110961,4462,IN_PASSENGER_VEHICLE
487451970,22929618,487433667,22896020,1543011671606,1543022773172,,UNKNOWN_ACTIVITY_TYPE
487433739,22895393,487541073,23038978,1543056876632,1543058739178,2354,IN_TRAIN
487548211,23012410,487551442,23011006,1543060304151,1543061417520,847,WALKING
487551442,23011006,487571718,22773984,1543061417520,1543062004159,1752,IN_BUS
487569177,22803716,487579117,22704911,1543062004159,1543064436595,901,WALKING
487579117,22704911,487433739,22895393,1543078699449,1543081543211,2213,WALKING
487433739,22895393,487500320,23005460,1543086779395,1543104130556,1099,CYCLING
487500320,23005460,487433739,22895393,1543108110752,1543111894910,1096,WALKING
487433739,22895393,487808091,22216570,1543140664571,1543146042638,6497,IN_PASSENGER_VEHICLE
487808091,22216570,487433739,22895393,1543152612741,1543155828982,6496,IN_PASSENGER_VEHICLE
487433739,22895393,487887337,23637327,1543210623962,1543215933126,7417,IN_PASSENGER_VEHICLE
487887337,23637327,487382374,22959542,1543241852832,1543244171438,9986,IN_BUS
487426524,22976267,487433739,22895393,1543244171438,1543244692091,598,WALKING
487426297,22899532,487796050,23155260,1543302644982,1543303405030,5158,IN_TRAIN
487796050,23155260,487885016,23648302,1543304388334,1543305876306,4405,IN_BUS
487887337,23637327,487872518,23677810,1543322563453,1543323105338,394,WALKING
487872518,23677810,487798441,23140239,1543323105338,1543324694789,5239,IN_BUS
487794690,23124253,487433320,22893949,1543325716793,1543326746767,5464,IN_TRAIN
487423805,22903640,487411527,22910026,1543408427318,1543408809312,144,WALKING
487511350,23050540,487879667,23677167,1543408809312,1543411214961,7713,IN_BUS
487887337,23637327,487426160,22899814,1543430711238,1543433436183,10361,IN_BUS
487434004,22895977,487885321,23647208,1543485445313,1543487950966,79975,IN_PASSENGER_VEHICLE
487887337,23637327,487884128,23656730,1543517431512,1543517550840,150,WALKING
487882985,23663385,487802724,23137357,1543517987607,1543519601924,4451,IN_BUS
487794263,23122501,487433739,22895393,1543520070710,1543521406993,4750,IN_TRAIN
487433739,22895393,487396127,22874454,1543558395210,1543558878158,501,WALKING
487511350,23050540,487879667,23677167,1543559236389,1543561096667,7713,IN_BUS
487889516,23630859,487881303,23514407,1543583343439,1543584270000,1026,WALKING
487884207,23512772,487887337,23637327,1543590183233,1543591019264,913,WALKING
487887337,23637327,487896678,23378219,1543594282000,1543596413999,3438,WALKING
487897096,23378846,487982238,23282587,1543602150516,1543603652332,1766,WALKING
487982164,23282514,487433739,22895393,1543603652332,1543604669914,7664,IN_TRAIN
