StartLocationLat,StartLocationLon,EndLocationLat,EndLocationLon,StartTime,EndTime,Distance,ActivityType
487434349,22896016,487586762,22713646,1569907891467,1569908665183,2321,CYCLING
487579117,22704911,487434349,22896016,1569915951118,1569916020619,2224,IN_PASSENGER_VEHICLE
487434349,22896016,487579117,22704911,1569916461996,1569917486564,10633,IN_PASSENGER_VEHICLE
487579117,22704911,487434349,22896016,1569919582650,1569919622466,2306,IN_PASSENGER_VEHICLE
487433689,22895093,487587669,22717865,1569921776483,1569922242579,6510,IN_PASSENGER_VEHICLE
487582455,22720189,487582353,22718640,1569924153861,1569925088380,4212,IN_PASSENGER_VEHICLE
487579117,22704911,487434349,22896016,1569925610502,1569925623933,2144,IN_PASSENGER_VEHICLE
487434349,22896016,487579117,22704911,1569926608373,1569926630766,2204,IN_PASSENGER_VEHICLE
487582356,22718665,487434349,22896016,1569927799498,1569927988213,2113,IN_PASSENGER_VEHICLE
487434349,22896016,487582507,22717990,1569928349329,1569928663618,6311,IN_PASSENGER_VEHICLE
487579117,22704911,487434349,22896016,1569932761149,1569932819661,2158,IN_PASSENGER_VEHICLE
487434349,22896016,487579117,22704911,1569944102034,1569945291339,2150,IN_PASSENGER_VEHICLE
487575206,22694152,487434349,22896016,1569946144710,1569946567786,2222,IN_PASSENGER_VEHICLE
487434349,22896016,487887337,23637327,1569995859599,1569996561955,,IN_PASSENGER_VEHICLE
487582430,22719124,487891235,23637388,1570012483021,1570018560189,13347,IN_PASSENGER_VEHICLE
487891235,23637388,487434349,22896016,1570018860756,1570021502653,10035,IN_PASSENGER_VEHICLE
487886403,23640230,487798859,23373413,1570024288785,1570025620039,28968,IN_PASSENGER_VEHICLE
487796477,23386922,487799878,23133029,1570025620039,1570026399659,2843,IN_BUS
487801382,23120204,487434349,22896016,1570027129996,1570028163607,11694,IN_TRAIN
487433516,22895681,487438347,22908413,1570034042754,1570035243593,,UNKNOWN_ACTIVITY_TYPE
487432768,22897393,487581834,22697167,1570082908748,1570083619599,2214,CYCLING
487588047,22715691,487434349,22896016,1570084453653,1570084851266,2168,IN_PASSENGER_VEHICLE
487434349,22896016,487579117,22704911,1570085947822,1570086018138,2287,IN_PASSENGER_VEHICLE
487588066,22715688,487426756,22900157,1570086389151,1570086579114,2166,IN_PASSENGER_VEHICLE
487420718,22906783,487508487,23003269,1570087201835,1570087400473,1825,WALKING
487403355,22878706,487800975,23124334,1570087400473,1570088090999,4882,IN_TRAIN
487797692,23138012,487891235,23637388,1570088654392,1570090150491,27396,IN_BUS
487891235,23637388,487579117,22704911,1570090604370,1570090700609,7666,IN_PASSENGER_VEHICLE
487582295,22718112,487885630,23611670,1570102310678,1570102650224,22665,IN_PASSENGER_VEHICLE
487884639,23594805,487798941,23139166,1570102954180,1570104297599,4510,IN_BUS
487800840,23132527,487434349,22896016,1570105200787,1570106162208,5130,IN_TRAIN
487433231,22895469,487587996,22715765,1570106539367,1570107682157,2188,IN_PASSENGER_VEHICLE
487588023,22715632,487434349,22896016,1570108301235,1570111177106,6572,IN_PASSENGER_VEHICLE
487434349,22896016,487579117,22704911,1570114683940,1570114748146,2242,IN_PASSENGER_VEHICLE
487582455,22716183,487433347,22895406,1570115884773,1570116119384,2115,IN_PASSENGER_VEHICLE
487434349,22896016,487579117,22704911,1570118304818,1570118531561,2154,IN_PASSENGER_VEHICLE
487579117,22704911,487434498,22892791,1570120081603,1570120688419,2118,IN_PASSENGER_VEHICLE
487432237,22881649,487579117,22704911,1570172679161,1570173247216,2135,CYCLING
487579117,22704911,487434349,22896016,1570173617718,1570174027422,2287,IN_PASSENGER_VEHICLE
487434349,22896016,487579117,22704911,1570176489473,1570176498753,2286,CYCLING
487582449,22726465,487434349,22896016,1570177990641,1570178650823,2063,IN_PASSENGER_VEHICLE
487434349,22896016,487584198,22720711,1570185453925,1570185724408,2105,IN_PASSENGER_VEHICLE
487582427,22720086,487431571,22895547,1570193732840,1570194161251,2245,WALKING
487551648,22756748,487587973,22715804,1570194161251,1570197814689,3984,IN_PASSENGER_VEHICLE
487572428,22693338,487544870,22660318,1570202111556,1570202360722,428,CYCLING
487540833,22668538,487891235,23637388,1570206222703,1570206464840,9218,CYCLING
487459957,22680993,487434349,22896016,1570211215332,1570213839380,17553,IN_PASSENGER_VEHICLE
487434349,22896016,487891235,23637388,1570252545129,1570254402668,8020,IN_PASSENGER_VEHICLE
487891235,23637388,487528974,22717823,1570262337745,1570266053261,9767,IN_PASSENGER_VEHICLE
487528974,22717823,487434349,22896016,1570266645864,1570266866473,1695,IN_PASSENGER_VEHICLE
487434349,22896016,487450988,22998133,1570302350045,1570302382239,794,IN_PASSENGER_VEHICLE
487454544,22990746,487281663,22687613,1570302962112,1570303788000,3797,CYCLING
487281663,22687613,487520269,23116066,1570305008619,1570305694144,4115,IN_PASSENGER_VEHICLE
487520269,23116066,487520269,23116066,1570306981049,1570308145892,8276,IN_PASSENGER_VEHICLE
487284100,22688990,487281663,22687613,1570309982697,1570310947767,8179,IN_PASSENGER_VEHICLE
487281663,22687613,487520269,23116066,1570311287251,1570311303229,4117,IN_PASSENGER_VEHICLE
487520269,23116066,487434349,22896016,1570312113119,1570312567323,1875,CYCLING
487434349,22896016,487518664,23116635,1570318507701,1570319313510,1888,IN_PASSENGER_VEHICLE
487520269,23116066,487434349,22896016,1570319944980,1570320483199,1881,CYCLING
487434349,22896016,487539660,22971080,1570466172279,1570466489278,1461,IN_PASSENGER_VEHICLE
487539660,22971080,487433810,22895034,1570467008428,1570467842043,1353,IN_PASSENGER_VEHICLE
487434349,22896016,487579117,22704911,1570514245270,1570515032312,2142,CYCLING
487579117,22704911,487434349,22896016,1570522380414,1570522464708,2222,IN_PASSENGER_VEHICLE
487434349,22896016,487668343,22545164,1570527765111,1570528898090,9044,IN_PASSENGER_VEHICLE
487668343,22545164,487433370,22895831,1570529224969,1570529407395,3674,IN_PASSENGER_VEHICLE
487433816,22895408,487636280,22734039,1570533062002,1570533386989,9085,IN_PASSENGER_VEHICLE
487452608,22880091,487433752,22895271,1570533386989,1570534169541,5028,RUNNING
487585276,22721243,487891235,23637388,1570539205905,1570542258930,11655,IN_PASSENGER_VEHICLE
487891235,23637388,487579117,22704911,1570545775574,1570546502159,7677,IN_PASSENGER_VEHICLE
487557051,22725852,487570033,22700690,1570549794450,1570550437558,238,IN_PASSENGER_VEHICLE
487570033,22700690,487434349,22896016,1570550437558,1570551019950,2307,CYCLING
487434349,22896016,487800420,23130870,1570557007679,1570558821095,30388,IN_PASSENGER_VEHICLE
487800420,23130870,487426596,22958277,1570559533528,1570560163514,4386,IN_TRAIN
487427073,22958490,487434349,22896016,1570560163514,1570560681417,465,WALKING
487434349,22896016,487434349,22896016,1570597667235,1570599453215,945,WALKING
487434349,22896016,487588252,22715970,1570601109521,1570601923590,2387,CYCLING
487579117,22704911,487891235,23637388,1570614281578,1570614482813,7667,WALKING
487883694,23641094,487887067,23628967,1570619017483,1570619669221,,UNKNOWN_ACTIVITY_TYPE
487582400,22718977,487434349,22896016,1570619975076,1570631207168,2096,CYCLING
487434349,22896016,487362404,22681028,1570632003048,1570634401815,2912,IN_PASSENGER_VEHICLE
487379771,22704125,487468604,22949627,1570635402148,1570636325665,2496,IN_PASSENGER_VEHICLE
487468604,22949627,487434349,22896016,1570637262856,1570637468759,567,IN_PASSENGER_VEHICLE
487434349,22896016,487433519,22896464,1570639247119,1570640489299,17181,WALKING
487433155,22896624,487579117,22704911,1570687395573,1570688045231,2482,CYCLING
487588357,22715565,487434349,22896016,1570689765999,1570690544215,6501,IN_PASSENGER_VEHICLE
487434349,22896016,487398835,22879755,1570692771635,1570694092525,422,WALKING
487398835,22879755,487584854,22718348,1570694092525,1570696080154,18343,IN_PASSENGER_VEHICLE
487891235,23637388,487582194,22720095,1570697445686,1570701955835,7549,WALKING
487579117,22704911,487891235,23637388,1570709104542,1570709132800,7675,IN_PASSENGER_VEHICLE
487891235,23637388,487891235,23637388,1570710594820,1570711791107,12300,WALKING
487891235,23637388,487575731,22694972,1570722203227,1570724295902,7752,IN_PASSENGER_VEHICLE
487576669,22696405,487891235,23637388,1570725480951,1570725974974,9470,CYCLING
487891235,23637388,487434349,22896016,1570731479632,1570731767841,7456,IN_PASSENGER_VEHICLE
487496943,23004016,487605369,23174314,1570733626529,1570734466917,,UNKNOWN_ACTIVITY_TYPE
487885202,23612993,487434349,22896016,1570741482999,1570744125194,7409,IN_PASSENGER_VEHICLE
487434349,22896016,487548820,22749369,1570777261565,1570777904904,1769,CYCLING
487546995,22750919,487588208,22715906,1570777904904,1570778370512,525,IN_PASSENGER_VEHICLE
487579117,22704911,487980862,23571406,1570793566554,1570795160447,7988,IN_PASSENGER_VEHICLE
487980862,23571406,487891235,23637388,1570795758488,1570798523262,1107,WALKING
487891235,23637388,487579117,22704911,1570799849569,1570802592835,7676,IN_PASSENGER_VEHICLE
487583259,22712532,487540551,22668364,1570805712286,1570807625635,622,CYCLING
487544870,22660318,487891235,23637388,1570809093320,1570809660281,8201,IN_PASSENGER_VEHICLE
487891235,23637388,487528974,22717823,1570810114433,1570811513359,8557,CYCLING
487528974,22717823,487891235,23637388,1570811951153,1570812584619,9119,IN_PASSENGER_VEHICLE
487888089,23642605,487892257,23637157,1570814787187,1570816085433,,UNKNOWN_ACTIVITY_TYPE
487891235,23637388,487458735,22678813,1570817623811,1570818902264,8561,IN_PASSENGER_VEHICLE
487465478,22676679,487519930,22724860,1570819290200,1570819532994,701,IN_PASSENGER_VEHICLE
487512580,22723128,487891235,23637388,1570820090678,1570821536828,8988,CYCLING
487891235,23637388,487434349,22896016,1570822274059,1570822373944,7462,WALKING
487433295,22895218,487789303,23131062,1570822881139,1570824022484,16681,IN_PASSENGER_VEHICLE
487802027,23122234,487434349,22896016,1570824387506,1570824469434,4434,IN_TRAIN
487434349,22896016,487891235,23637388,1570863936975,1570865820307,7485,IN_PASSENGER_VEHICLE
487434349,22896016,487433244,22894911,1570882175305,1570882588652,14,WALKING
487885630,23611670,487434349,22896016,1570883103719,1570883408062,7284,IN_PASSENGER_VEHICLE
487436473,22896986,487832562,22933574,1570891356000,1570892196000,12064,IN_PASSENGER_VEHICLE
487433303,22895609,487434349,22896016,1570897176638,1570899058854,8841,IN_PASSENGER_VEHICLE
487434349,22896016,487480707,22897531,1570908337682,1570910496548,515,IN_PASSENGER_VEHICLE
487434349,22896016,487516600,22745940,1570961579831,1570964166215,1448,IN_PASSENGER_VEHICLE
487516600,22745940,487583885,22718668,1570966947891,1570968614969,779,IN_PASSENGER_VEHICLE
487515307,22742117,487434349,22896016,1570970822139,1570971303487,1585,IN_PASSENGER_VEHICLE
487424667,22902059,487396127,22874454,1571060423000,1571060653982,376,WALKING
487402125,22879356,487795074,23125781,1571061244281,1571061783493,4936,IN_TRAIN
487793254,23119822,487891235,23637388,1571061783493,1571063595920,22816,IN_BUS
487884980,23613660,487800420,23130870,1571063885392,1571065121473,4162,IN_BUS
487799569,23138281,487432581,22899997,1571065607855,1571066107458,5485,IN_TRAIN
487432101,22904243,487434349,22896016,1571066107458,1571066477943,65,WALKING
487424740,22902509,487793043,23150401,1571134752500,1571135656245,11413,IN_TRAIN
487799715,23154968,487434349,22896016,1571136400559,1571137698251,49466,IN_PASSENGER_VEHICLE
487433332,22895310,487384931,22974864,1571144499656,1571145102736,1194,IN_PASSENGER_VEHICLE
487384931,22974864,487456008,22953569,1571146359946,1571146820998,805,WALKING
487456008,22953569,487434349,22896016,1571147646080,1571147825972,499,IN_PASSENGER_VEHICLE
487434349,22896016,487891235,23637388,1571153840633,1571154154924,7462,IN_PASSENGER_VEHICLE
487885135,23613394,487802996,23139440,1571161546862,1571162886694,13863,IN_BUS
487796982,23122606,487433305,22947838,1571163322990,1571163699701,4272,IN_TRAIN
487466586,22965745,487434349,22896016,1571163699701,1571164170097,931,RUNNING
487434349,22896016,487434349,22896016,1571206051723,1571207004539,1417,CYCLING
487424198,22902679,487402742,22873043,1571209542906,1571209841121,496,WALKING
487402198,22873134,487796020,23155080,1571209841121,1571210483176,7011,IN_TRAIN
487813280,23183370,487884190,23622830,1571210968255,1571212101171,3876,IN_BUS
487891235,23637388,487579117,22704911,1571214282475,1571214358595,7715,IN_PASSENGER_VEHICLE
487588329,22715661,487887504,23638192,1571217713673,1571218560861,7627,IN_PASSENGER_VEHICLE
487891235,23637388,487579117,22704911,1571221983213,1571222127114,7664,IN_PASSENGER_VEHICLE
487588292,22715693,487887156,23636795,1571222946678,1571223192253,7523,IN_PASSENGER_VEHICLE
487886067,23618370,487800420,23130870,1571226607354,1571228050525,4153,IN_BUS
487800420,23130870,487433230,22895409,1571229469967,1571231088435,23870,IN_TRAIN
487432143,22884006,487588324,22715624,1571292154000,1571292967832,2373,CYCLING
487588360,22715651,487588196,22715736,1571295335841,1571299874576,11489,IN_PASSENGER_VEHICLE
487579117,22704911,487891235,23637388,1571300290500,1571301236987,7676,IN_PASSENGER_VEHICLE
487588255,22715719,487891235,23637388,1571301804108,1571304285773,7547,IN_PASSENGER_VEHICLE
487893672,23639204,487583213,22720488,1571307571146,1571308795733,7649,WALKING
487583213,22720488,487434349,22896016,1571310586325,1571314060273,15559,IN_PASSENGER_VEHICLE
487434349,22896016,487584289,22720721,1571316318854,1571321242841,2229,IN_PASSENGER_VEHICLE
487584290,22720711,487726916,22382950,1571322734097,1571325321684,11485,IN_PASSENGER_VEHICLE
487726916,22382950,487809973,22201273,1571325321684,1571325454932,1620,WALKING
487809973,22201273,487834702,22228904,1571327701997,1571329323473,341,WALKING
487834702,22228904,487515516,22765523,1571329891210,1571332003598,7045,IN_PASSENGER_VEHICLE
487515516,22765523,487434349,22896016,1571332003598,1571332130733,1315,WALKING
487434349,22896016,487579117,22704911,1571376782246,1571377588888,2412,CYCLING
487579117,22704911,487434349,22896016,1571387522191,1571387900916,2212,IN_PASSENGER_VEHICLE
487434349,22896016,487434349,22896016,1571388743361,1571390295318,4197,IN_PASSENGER_VEHICLE
487434349,22896016,487583609,22712488,1571392385344,1571393315211,2714,CYCLING
487583893,22712870,487434349,22896016,1571395322073,1571395772453,2137,CYCLING
487410971,22902358,487579117,22704911,1571397262866,1571401732580,30157,IN_PASSENGER_VEHICLE
487588217,22715801,487891235,23637388,1571404021895,1571406808572,7547,IN_PASSENGER_VEHICLE
487891235,23637388,487584137,22721467,1571409412211,1571409872816,7608,IN_PASSENGER_VEHICLE
487579117,22704911,487537610,22668018,1571411873195,1571412276991,545,IN_PASSENGER_VEHICLE
487540507,22669145,487877670,23671944,1571413237124,1571414177501,8250,IN_SUBWAY
487540631,22668747,487529513,22716687,1571416222674,1571416891258,12028,IN_PASSENGER_VEHICLE
487523256,22719905,487506299,22730323,1571418494495,1571420036850,203,WALKING
487497557,22716946,487516395,22741331,1571420036850,1571420338343,284,CYCLING
487517488,22739240,487588879,22761288,1571420633407,1571423288127,930,IN_PASSENGER_VEHICLE
487574875,22682956,487915847,22891464,1571425343776,1571426111594,4099,IN_PASSENGER_VEHICLE
487912423,22892056,487961676,22877779,1571426111594,1571426576208,558,WALKING
487960880,22874477,487579117,22704911,1571428554753,1571429180296,4423,CYCLING
487568798,22705237,487551433,22650630,1571430413918,1571430914782,9376,IN_PASSENGER_VEHICLE
487568040,22650237,487961159,22874813,1571438223824,1571438490779,4671,IN_PASSENGER_VEHICLE
487961676,22877779,487434349,22896016,1571439217673,1571440241321,5865,IN_PASSENGER_VEHICLE
487434349,22896016,487457914,22832236,1571491782806,1571491979594,536,IN_PASSENGER_VEHICLE
487453935,22836492,487434349,22896016,1571493309964,1571493678276,756,IN_PASSENGER_VEHICLE
487434349,22896016,487434349,22896016,1571507209096,1571508144639,4759,IN_PASSENGER_VEHICLE
487434349,22896016,487434349,22896016,1571509056743,1571510113662,2849,CYCLING
487434349,22896016,487348446,22824489,1571513517392,1571513645835,1093,IN_PASSENGER_VEHICLE
487348446,22824489,487433302,22895323,1571516271891,1571516546104,1077,IN_PASSENGER_VEHICLE
487434349,22896016,487348446,22824489,1571517699658,1571517812488,1092,IN_PASSENGER_VEHICLE
487348446,22824489,487434349,22896016,1571519446257,1571519462092,1089,IN_PASSENGER_VEHICLE
487434349,22896016,487341971,22775985,1571520371164,1571520510294,1444,IN_PASSENGER_VEHICLE
487341971,22775985,487434349,22896016,1571521945592,1571521987068,1373,IN_PASSENGER_VEHICLE
487433854,22895006,487432983,22895815,1571525769667,1571527107662,2623,CYCLING
487431610,22880901,487495840,22719450,1571594585859,1571595852772,1382,WALKING
487495840,22719450,487434349,22896016,1571597142912,1571597182224,1501,IN_PASSENGER_VEHICLE
487434349,22896016,487495840,22719450,1571597883942,1571597925721,1490,IN_PASSENGER_VEHICLE
487495840,22719450,487434349,22896016,1571598662587,1571598823250,1510,IN_PASSENGER_VEHICLE
487434349,22896016,487495840,22719450,1571605975825,1571606018646,1556,IN_PASSENGER_VEHICLE
487495840,22719450,487519930,22724860,1571634543609,1571634664021,279,WALKING
487515242,22745607,487433023,22894281,1571638961123,1571639561385,1452,IN_PASSENGER_VEHICLE
487434349,22896016,487493059,23040621,1571652297654,1571653419443,4656,IN_PASSENGER_VEHICLE
487485125,23042053,487433566,22895309,1571655002841,1571656476206,1219,IN_PASSENGER_VEHICLE
487427665,22898680,487434349,22896016,1571657664344,1571658941711,76,WALKING
487434349,22896016,487891235,23637388,1571659685876,1571660922794,31175,IN_PASSENGER_VEHICLE
487897714,23638773,487152914,22425018,1571662749755,1571663306701,12168,CYCLING
487157548,22436342,487434349,22896016,1571675487128,1571676488535,4629,CYCLING
487434349,22896016,487796834,23136453,1571679740923,1571681580255,11838,IN_PASSENGER_VEHICLE
487796834,23136453,487798111,23127360,1571681580255,1571681678219,470,IN_BUS
487801988,23125930,487548960,23009787,1571681678219,1571681927000,3069,IN_TRAIN
487545061,23008884,487519930,22724860,1571682427426,1571683136776,8180,IN_BUS
487516881,22744740,487434349,22896016,1571684810885,1571685051222,1461,IN_PASSENGER_VEHICLE
487433834,22889094,487507022,22716193,1571701889679,1571702311407,1506,IN_PASSENGER_VEHICLE
487514079,22730842,487515769,22748393,1571704924175,1571705157849,136,WALKING
487515769,22748393,487434349,22896016,1571719981925,1571725920571,1428,IN_PASSENGER_VEHICLE
487434349,22896016,487516600,22745940,1571737188704,1571737202034,1450,IN_PASSENGER_VEHICLE
487516600,22745940,487434349,22896016,1571743741152,1571743873122,1463,IN_PASSENGER_VEHICLE
