StartLocationLat,StartLocationLon,EndLocationLat,EndLocationLon,StartTime,EndTime,Distance,ActivityType
487457679,22830583,487432930,22894036,1596283246530,1596283590514,540,IN_PASSENGER_VEHICLE
473685238,-32106201,487588943,23846854,1596289036820,1596298528359,445816,IN_PASSENGER_VEHICLE
487590922,23855106,487613755,22903862,1596298996043,1596300662998,13313,IN_PASSENGER_VEHICLE
487610238,22906071,487433798,22890975,1596300962078,1596301515582,2595,IN_PASSENGER_VEHICLE
487433289,22894120,487433603,22893878,1596302339267,1596303512345,1057,IN_PASSENGER_VEHICLE
487433653,22893788,473686785,-32225836,1596313142113,1596316112535,437130,IN_PASSENGER_VEHICLE
473692145,-32215421,473729921,-32188246,1596322715052,1596323680372,467,WALKING
473720666,-32204154,473678022,-32121037,1596331252564,1596333396565,1066,WALKING
473685842,-32105771,487433648,22893827,1596387308935,1596401504120,436544,IN_PASSENGER_VEHICLE
487434014,22896093,487462351,22956797,1596444577173,1596445031193,573,WALKING
487458909,22956463,487437968,22956851,1596446546999,1596446705266,232,WALKING
487436951,22963458,487260653,22583952,1596447222010,1596447772235,3512,IN_TRAIN
487257825,22580309,487952850,21377210,1596448469000,1596449927191,12602,IN_TRAIN
487955329,21355472,487866800,20449453,1596450454999,1596451083769,6722,IN_TRAIN
487866800,20449453,474190842,-10135899,1596451083769,1596460864999,277085,IN_PASSENGER_VEHICLE
474196688,-10147761,476651650,-27525407,1596462205810,1596469751691,133426,IN_PASSENGER_VEHICLE
476649123,-27520574,473685255,-32104951,1596471395168,1596475227408,58784,IN_BUS
473684080,-32106315,473684686,-32112984,1596480883564,1596484076158,9264,IN_FERRY
473675919,-32126997,473686740,-32225864,1596485296148,1596485910158,754,WALKING
473689164,-32219068,473714013,-32212886,1596491006596,1596495955076,731,WALKING
473728756,-32195211,473684929,-32112209,1596501684372,1596505335323,1746,WALKING
473684309,-32110798,473405518,-31737478,1596548245935,1596549254318,4185,IN_PASSENGER_VEHICLE
473408164,-31736260,473730257,-32187523,1596549701936,1596551247021,5337,IN_PASSENGER_VEHICLE
473729653,-32194631,473710683,-32052716,1596551522081,1596553458722,11596,IN_PASSENGER_VEHICLE
473710683,-32052716,473704469,-32213753,1596553458722,1596554584115,1214,WALKING
473703971,-32214160,473684326,-32110758,1596556325838,1596556591772,808,WALKING
473693254,-32108528,473685799,-32223708,1596558242007,1596561790254,1522,WALKING
473685846,-32105931,473658062,-32177283,1596583876421,1596591020010,1592,IN_FERRY
473685211,-32105706,473272646,-32362645,1596640331926,1596640887208,4979,IN_PASSENGER_VEHICLE
473327109,-32297373,473405986,-31732599,1596644919843,1596645722937,4345,IN_PASSENGER_VEHICLE
473408310,-31736316,473685554,-32105989,1596646342800,1596650918768,4154,IN_PASSENGER_VEHICLE
473684983,-32115959,473477283,-31573851,1596653691940,1596654440968,4696,IN_PASSENGER_VEHICLE
473471318,-31563379,473685700,-32105030,1596655501369,1596657952930,5266,WALKING
473465392,-31527765,473480971,-31570222,1596668326052,1596669247000,393,WALKING
473480971,-31570222,473578341,-31563065,1596669247000,1596672830149,1084,IN_FERRY
473578341,-31563065,474831288,-31231495,1596674464653,1596706586835,5977,IN_FERRY
473708818,-32061331,475796435,-31210704,1596727624920,1596737820152,30311,IN_PASSENGER_VEHICLE
473684001,-32104952,473684325,-32110774,1596751717118,1596766281085,9922,IN_PASSENGER_VEHICLE
473688629,-32106525,473470126,-31536393,1596804770425,1596807602636,4954,IN_FERRY
473684762,-32115819,473123233,-31883395,1596918911098,1596919926006,6484,IN_PASSENGER_VEHICLE
473123216,-31883396,473687680,-32223446,1596920526075,1596920711666,6779,IN_PASSENGER_VEHICLE
473687382,-32224034,473123231,-31883363,1596926735556,1596929805058,6778,IN_PASSENGER_VEHICLE
473123240,-31883504,473684867,-32105055,1596935190855,1596936510136,6465,IN_PASSENGER_VEHICLE
473123191,-31883300,473683413,-32115923,1596972067866,1596972880792,6471,IN_PASSENGER_VEHICLE
473709674,-32062438,473013756,-31692253,1597063961706,1597072936697,10486,CYCLING
473676743,-32117805,473569617,-31569740,1597096916183,1597097455867,4296,IN_PASSENGER_VEHICLE
473569937,-31564417,473685154,-32105279,1597098514488,1597112642060,9354,IN_PASSENGER_VEHICLE
473683857,-32115800,473744028,-32187128,1597151116979,1597155215099,3114,WALKING
473744033,-32186993,473685060,-32115798,1597155991029,1597157865895,1229,WALKING
473685162,-32105271,473731204,-32187763,1597159264757,1597159601951,804,WALKING
473742003,-32187079,473685023,-32115791,1597160221991,1597162150861,830,IN_PASSENGER_VEHICLE
473694562,-32109053,473406407,-31734381,1597248501744,1597248922531,4269,IN_PASSENGER_VEHICLE
473405290,-31735049,473689249,-32086583,1597249243918,1597249322794,4120,IN_PASSENGER_VEHICLE
473689296,-32086654,473685123,-32105289,1597249991977,1597252323217,8880,IN_PASSENGER_VEHICLE
473282272,-32355216,473685169,-32105263,1597334891624,1597336091872,4859,IN_PASSENGER_VEHICLE
473122984,-31882388,473685163,-32105265,1597393142054,1597400143993,6472,IN_PASSENGER_VEHICLE
473123237,-31883294,473684223,-32116072,1597410160722,1597421848572,35636,IN_PASSENGER_VEHICLE
473123197,-31883372,473123237,-31883294,1597432785915,1597435408230,4372,IN_PASSENGER_VEHICLE
473123191,-31883300,473688189,-32222466,1597437249511,1597437425494,6782,IN_PASSENGER_VEHICLE
473680381,-32231319,473685157,-32105256,1597439657554,1597445138040,9015,IN_PASSENGER_VEHICLE
473601685,-31572750,473685137,-32105357,1597447682947,1597449752881,4492,IN_PASSENGER_VEHICLE
473685162,-32105271,473716081,-32207329,1597530370700,1597530778537,841,IN_PASSENGER_VEHICLE
473714439,-32217727,473685161,-32105262,1597542260629,1597542645772,907,IN_PASSENGER_VEHICLE
473685179,-32105259,473687234,-32222264,1597585162084,1597586198832,881,WALKING
473688187,-32221882,473745627,-32193311,1597586784683,1597588812421,1985,WALKING
473685124,-32105300,473685146,-32105244,1597596450576,1597598154754,2000,WALKING
473685124,-32105300,473684751,-32222887,1597611494645,1597612354215,885,IN_PASSENGER_VEHICLE
473688400,-32221367,473685152,-32105370,1597618569438,1597618775270,874,IN_PASSENGER_VEHICLE
473685154,-32105308,473469865,-31540867,1597619327735,1597620322544,4879,IN_PASSENGER_VEHICLE
473464729,-31538617,473685169,-32105262,1597622339099,1597625853197,4942,IN_FERRY
473685154,-32105293,473470491,-31542056,1597628072413,1597629086661,4867,WALKING
