StartLocationLat,StartLocationLon,EndLocationLat,EndLocationLon,StartTime,EndTime,Distance,ActivityType
487434308,22720738,487433628,22895065,1580515200305,1580515725331,1279,CYCLING
487433727,22895403,487411543,22817119,1580553336337,1580554554557,1208,IN_PASSENGER_VEHICLE
487418042,22846433,487433221,22894080,1580555026501,1580555300506,411,IN_PASSENGER_VEHICLE
487433772,22895434,487433578,22895479,1580588728564,1580590291222,3480,IN_PASSENGER_VEHICLE
487432211,22895420,487433578,22895479,1580656946496,1580658031903,15,CYCLING
487436946,22895443,487489221,22818556,1580666984347,1580669645609,809,WALKING
487489221,22818556,487421201,22897668,1580672656592,1580674620080,953,WALKING
487433723,22895446,487525886,23048223,1580818375285,1580819005975,1800,IN_PASSENGER_VEHICLE
487540086,23061382,487433523,22895742,1580825043088,1580826402604,1873,IN_PASSENGER_VEHICLE
487478395,22863829,487436946,22895443,1580854844371,1580855633472,515,IN_PASSENGER_VEHICLE
487433592,22895472,487581283,22718717,1580884943154,1580885605810,2268,IN_PASSENGER_VEHICLE
487408868,22886188,487578640,23012801,1580915660819,1580917464711,4603,IN_BUS
487578640,23012801,487585313,22997054,1580917464711,1580917764569,137,WALKING
487577570,23014771,487565691,23015443,1580920902363,1580921002615,137,IN_BUS
487555811,23011390,487576776,22695786,1580921282182,1580922322970,2343,IN_BUS
487433672,22902169,487587859,22715679,1580924777086,1580925353264,2192,CYCLING
487587887,22715588,487433592,22895501,1580926183369,1580928937725,5795,CYCLING
487423694,22902287,487550668,23020024,1580935293771,1580936280135,1701,IN_BUS
487550668,23020024,487852542,23163579,1580936280135,1580937258173,3855,IN_TRAIN
487925268,23141491,488706160,23096384,1580941202730,1580943956109,8689,IN_SUBWAY
488706160,23096384,488717041,23111599,1580943956109,1580944349113,164,WALKING
488700003,23102259,487442870,22913398,1580962180000,1580964102701,16772,IN_PASSENGER_VEHICLE
488737208,23274552,487588038,22715496,1580982361682,1580985358039,13417,WALKING
487589642,22735630,487582796,22721263,1580990803378,1580992220155,129,WALKING
487588172,22717982,487433672,22902169,1580994423545,1580994744883,2185,IN_PASSENGER_VEHICLE
487562402,22733244,487433578,22895479,1581013801469,1581014835688,1940,CYCLING
487433617,22895642,487481531,22864081,1581021202473,1581021780694,580,CYCLING
487481531,22864081,487433672,22902169,1581027391645,1581027936038,600,WALKING
