StartLocationLat,StartLocationLon,EndLocationLat,EndLocationLon,StartTime,EndTime,Distance,ActivityType
487433961,22895456,487434824,22895272,1583063600011,1583064526907,1593,IN_PASSENGER_VEHICLE
487433991,22895386,487585242,22698586,1583135932662,1583136647296,2284,CYCLING
487434066,22903733,487588012,22715563,1583143685744,1583144511003,2198,WALKING
487425717,22901518,487402290,22878093,1583146110000,1583146573891,428,WALKING
487402290,22878093,487889560,23627122,1583146573891,1583148968197,7713,IN_BUS
487896942,23636466,487588012,22715563,1583149475477,1583151037003,7572,IN_BUS
487587449,22715942,487874782,23684050,1583153852585,1583154178995,7780,WALKING
487874792,23683267,487588012,22715563,1583158089850,1583160313032,7775,WALKING
487883476,23653221,487588471,22764660,1583161702858,1583162913858,7727,CYCLING
487583486,22711759,487432339,22894458,1583164811811,1583165551421,2175,CYCLING
487810127,23139285,487433672,22902169,1583172139143,1583173470215,4532,WALKING
487434164,22895635,487582152,22715576,1583218365603,1583219260528,2109,IN_PASSENGER_VEHICLE
487579800,22697983,487834348,22784607,1583232088319,1583233436105,3175,IN_BUS
487832260,22783209,487580613,22717977,1583235505926,1583239035725,3131,IN_BUS
487588062,22715539,487570625,22696265,1583240445044,1583244001941,4271,WALKING
487569022,22697358,487434246,22895672,1583248033187,1583249828309,2376,WALKING
487433672,22902169,487539558,22788346,1583267178794,1583270994446,3121,IN_PASSENGER_VEHICLE
487432593,22894249,487588099,22715775,1583305050118,1583305789412,2168,IN_PASSENGER_VEHICLE
487588004,22715656,487432706,22895701,1583307355213,1583307838999,2173,IN_PASSENGER_VEHICLE
487436946,22895443,487581451,22720437,1583316071955,1583318429381,2056,IN_PASSENGER_VEHICLE
487587999,22715644,487588062,22715539,1583322339588,1583322933111,1,IN_PASSENGER_VEHICLE
487888391,23635402,487556453,22722640,1583325181406,1583330698324,9843,IN_PASSENGER_VEHICLE
487556453,22722640,487432095,22881997,1583330698324,1583332562535,2122,WALKING
487433920,22890869,487580323,22706645,1583390405526,1583391382306,2282,IN_PASSENGER_VEHICLE
487584860,22696928,487634984,22749596,1583397656990,1583398756327,836,WALKING
487619762,22756634,487431378,22895832,1583399326331,1583400620832,5324,IN_PASSENGER_VEHICLE
487439942,22902675,487433672,22902169,1583428527158,1583430849843,3052,WALKING
487433672,22902169,487788504,22810965,1583430849843,1583432350157,4792,IN_BUS
487784413,22814864,487826154,22793448,1583432716606,1583433610009,489,WALKING
487832697,22783540,487487940,22857606,1583440347435,1583441972779,3871,IN_PASSENGER_VEHICLE
487487940,22857606,487439942,22902675,1583450450060,1583452086796,8330,IN_PASSENGER_VEHICLE
487434267,22896504,487834394,22784647,1583454148749,1583456188230,4811,IN_PASSENGER_VEHICLE
487835527,22793884,487504474,22784854,1583481382858,1583482951496,4390,IN_BUS
487504474,22784854,487432512,22895227,1583482951496,1583484116497,1395,WALKING
487432515,22895728,487434093,22895654,1583503496519,1583506579903,820,IN_PASSENGER_VEHICLE
487436325,22892688,487543214,23013175,1583517349964,1583518357434,2216,CYCLING
487541598,23012352,487811698,23139087,1583522389495,1583522720789,3143,IN_BUS
487799731,23126397,487437690,22897649,1583523373225,1583525690314,7782,CYCLING
487430120,22897383,488737652,22937417,1583529899119,1583532652994,16837,IN_TRAIN
488737652,22937417,488719285,22911357,1583532652994,1583533140056,279,WALKING
488757411,22893371,488722995,22921460,1583543534970,1583544782649,434,WALKING
488722908,22921476,487432148,22895231,1583546376431,1583548874020,14353,IN_PASSENGER_VEHICLE
487451999,22928118,487717078,22740511,1583589353216,1583592424379,3831,IN_PASSENGER_VEHICLE
487717078,22740511,487435991,22899482,1583592721941,1583593613637,3335,IN_PASSENGER_VEHICLE
487434085,22895748,487564080,22939816,1583596959191,1583597806261,1860,CYCLING
487562096,22937412,487545599,23006734,1583599765857,1583602112673,572,CYCLING
487545735,23002729,487433603,22905659,1583605022220,1583629921796,10218,CYCLING
487437015,22891953,487574086,22695465,1583689266252,1583690326362,2115,CYCLING
487574262,22696171,487433271,22893208,1583690940565,1583692722060,2341,CYCLING
487434164,22895635,487580746,22707620,1583740760576,1583741575682,2357,CYCLING
487580806,22720762,487434106,22895665,1583751913446,1583752364660,2225,IN_PASSENGER_VEHICLE
487587994,22715667,487434164,22895635,1583762611385,1583762823170,2160,IN_PASSENGER_VEHICLE
487434969,22897201,487569000,22697233,1583764354839,1583766565755,18919,IN_PASSENGER_VEHICLE
487571283,22696533,487586087,22778777,1583770533246,1583771462196,732,WALKING
487875256,23627216,487439245,22905818,1583773632456,1583776306210,11153,IN_PASSENGER_VEHICLE
487434109,22895626,487588252,22715383,1583823252310,1583824082123,2377,CYCLING
487588194,22715291,487669490,22544277,1583835260402,1583837364816,2096,IN_PASSENGER_VEHICLE
487669490,22544277,487434772,22897176,1583838118964,1583838753921,3674,IN_PASSENGER_VEHICLE
487434164,22895635,487396692,22884629,1583841173058,1583843114423,5212,WALKING
487396692,22884629,487803159,23123273,1583843114423,1583843583107,4888,IN_TRAIN
487803159,23123273,487887689,23636317,1583843583107,1583845398236,4596,IN_BUS
487583665,22711578,487561462,22738243,1583855034717,1583858071149,1741,WALKING
487561124,22736571,487584476,22786141,1583862865742,1583863765971,759,WALKING
487585011,22781746,487583785,22998910,1583864221953,1583864674551,1748,IN_BUS
487884166,23612651,487431314,22895174,1583866202408,1583868950220,16428,IN_BUS
487435622,22895498,487489442,22818560,1583872629729,1583873244228,869,IN_PASSENGER_VEHICLE
487489442,22818560,487431265,22894877,1583874147904,1583874300732,855,IN_PASSENGER_VEHICLE
487431265,22894877,487489442,22818560,1583875187766,1583875349087,855,IN_PASSENGER_VEHICLE
487492454,22828081,487434173,22895399,1583879578969,1583880049592,899,IN_PASSENGER_VEHICLE
487434188,22895543,487582805,22712247,1583910232077,1583910862430,2444,CYCLING
487587998,22715688,487427177,22944033,1583913812042,1583915061000,2670,WALKING
487426064,22939804,487425021,22901660,1583915382423,1583915680000,324,WALKING
487434049,22896164,487399156,22870522,1583916897074,1583918263505,1514,CYCLING
487398832,22869192,487433282,22894780,1583918758186,1583918927308,426,CYCLING
487434083,22895624,487588203,22715292,1583922200564,1583922310251,2164,IN_PASSENGER_VEHICLE
487561830,22726762,487583218,22714906,1583929934601,1583930364021,253,WALKING
