StartLocationLat,StartLocationLon,EndLocationLat,EndLocationLon,StartTime,EndTime,Distance,ActivityType
487433532,22893760,487570614,22944013,1598951833552,1598952518893,2013,CYCLING
487569787,22944891,487433890,22894425,1598955874713,1598956082143,1555,CYCLING
487433656,22893688,487528049,22717375,1598967554026,1598968728212,1673,IN_PASSENGER_VEHICLE
487527879,22717808,487433589,22893701,1598969648036,1598970766125,1664,IN_PASSENGER_VEHICLE
487569794,22944850,487433561,22893825,1598974914603,1598974998899,1560,IN_PASSENGER_VEHICLE
487433579,22893788,487545703,23002558,1598975944998,1598975982960,1479,CYCLING
487546063,23009588,487611190,22997350,1598977454201,1598978274294,852,CYCLING
487433560,22893734,487660261,22554652,1599042034050,1599042628606,3541,CYCLING
487668177,22552477,487433603,22893670,1599043380057,1599044323682,3613,CYCLING
487433636,22893571,487668572,22544077,1599044898746,1599045607282,3659,IN_PASSENGER_VEHICLE
487659853,22552563,487585357,22721594,1599047358589,1599048771260,6049,IN_PASSENGER_VEHICLE
487432621,22897324,487433572,22893557,1599062534935,1599064044187,29,IN_PASSENGER_VEHICLE
487433490,22893694,487482298,22836358,1599074996061,1599075298588,686,IN_PASSENGER_VEHICLE
487490162,22826488,487433319,22893332,1599080691509,1599080993109,799,IN_PASSENGER_VEHICLE
487433490,22893709,487585343,22721555,1599120422031,1599121296435,2246,IN_PASSENGER_VEHICLE
487582820,22719834,487433465,22893833,1599123402975,1599123662108,2094,IN_PASSENGER_VEHICLE
487433463,22893732,487585453,22690649,1599140822957,1599141191206,2252,IN_PASSENGER_VEHICLE
487562202,22738527,487433491,22893620,1599143502628,1599143918213,1827,IN_PASSENGER_VEHICLE
487433494,22893591,487830227,22223993,1599144640538,1599145848999,6636,IN_PASSENGER_VEHICLE
487797367,22198076,487559106,22735067,1599149386053,1599150096000,4855,IN_PASSENGER_VEHICLE
487548564,22728855,487434607,22891431,1599150822019,1599151245007,1742,IN_PASSENGER_VEHICLE
487433505,22894439,487435746,22890333,1599151827209,1599154601985,1035,IN_PASSENGER_VEHICLE
487439753,22907982,487467253,22952088,1599165570599,1599166031780,538,WALKING
487468813,22950787,487436828,22898384,1599174059160,1599174507767,629,WALKING
487433322,22896299,487585260,22721594,1599199741676,1599200221970,2219,IN_PASSENGER_VEHICLE
487433789,22894673,487433649,22894620,1599207853532,1599210369617,4338,IN_PASSENGER_VEHICLE
487433412,22894424,487577053,22691986,1599215941642,1599216065322,2180,IN_PASSENGER_VEHICLE
487433463,22894332,487553435,22739748,1599228136351,1599228849255,1750,IN_PASSENGER_VEHICLE
487561855,22737948,487529308,22717278,1599238595245,1599239763812,681,CYCLING
487526386,22718143,487570279,22943783,1599240482321,1599240927718,1724,CYCLING
487433212,22897750,487570281,22944485,1599244619608,1599244835667,1562,IN_PASSENGER_VEHICLE
487570236,22943768,487433675,22894412,1599246081131,1599246233079,1561,IN_PASSENGER_VEHICLE
487436108,22889715,487491431,22715561,1599250340806,1599251116666,2811,IN_PASSENGER_VEHICLE
