StartLocationLat,StartLocationLon,EndLocationLat,EndLocationLon,StartTime,EndTime,Distance,ActivityType
487552474,22659482,487528443,22709342,1609468306143,1609469339555,1006,WALKING
487515279,22734184,487480773,22948365,1609469849000,1609470501183,2734,CYCLING
487495761,22945334,487433569,22894997,1609483192254,1609484102183,822,WALKING
487433598,22895002,487504776,23073325,1609521073833,1609521607074,1528,CYCLING
487506229,23068957,487538486,23030267,1609523619650,1609524136428,459,CYCLING
487543206,23010847,487432887,22893700,1609524542822,1609524867788,1497,CYCLING
487433571,22895035,487610492,22993265,1609602309119,1609603214808,2234,IN_PASSENGER_VEHICLE
487610334,22993381,487570689,22939942,1609611194764,1609612033312,867,CYCLING
487570563,22940161,487433575,22895061,1609614536769,1609615021093,1860,CYCLING
487433312,22885877,487610719,22993291,1609690737615,1609692626912,2487,WALKING
487610078,22993720,487432568,22893551,1609695442166,1609696109650,3384,IN_PASSENGER_VEHICLE
487433627,22895054,487576421,22716843,1609746015688,1609746504464,2200,IN_PASSENGER_VEHICLE
487577867,22695650,487557536,22789143,1609776636614,1609776940011,721,IN_PASSENGER_VEHICLE
487556489,22791861,487433601,22894993,1609780439787,1609782135117,1697,WALKING
487433601,22895010,487580281,22718832,1609829533907,1609830422400,2080,IN_PASSENGER_VEHICLE
487581840,22702120,487431108,22882196,1609855538533,1609856826563,2329,WALKING
487433821,22895291,487580242,22714003,1609919449524,1609920038077,2101,IN_PASSENGER_VEHICLE
487582633,22711688,487558031,22782115,1609952497595,1609953019540,584,WALKING
487557875,22787047,487433213,22893944,1609955918589,1609957574670,1866,WALKING
487436529,22889704,487582454,22718780,1610010600672,1610011185444,2506,IN_PASSENGER_VEHICLE
487550220,22747081,487433764,22895013,1610039775847,1610041118727,2033,WALKING
487433815,22895093,487581269,22719996,1610089244991,1610090102339,2082,IN_PASSENGER_VEHICLE
487582055,22719736,487511533,22725407,1610105429918,1610106685992,919,WALKING
487507057,22720702,487580933,22720729,1610108589178,1610109520932,950,WALKING
487583643,22711778,487564386,22975712,1610125176367,1610126228016,2063,IN_BUS
487562867,22972314,486785784,22410257,1610130805823,1610133268889,11925,CYCLING
486785660,22410763,487157782,22435885,1610136874910,1610138154187,5503,CYCLING
487140456,22435548,487157444,22482704,1610152260618,1610152925999,748,WALKING
487157444,22482704,487432773,22888173,1610152925999,1610153880546,4377,CYCLING
487433831,22895307,487434670,22726940,1610220938173,1610222430397,1305,WALKING
487424335,22730441,487430664,22880197,1610234926169,1610236022129,1227,WALKING
487433865,22895320,487517532,22744505,1610279479337,1610280094098,1445,IN_PASSENGER_VEHICLE
487517386,22744365,487433806,22895196,1610286526571,1610287022297,1444,IN_PASSENGER_VEHICLE
487433893,22895304,487581280,22720449,1610351813318,1610352389644,2080,IN_PASSENGER_VEHICLE
487581650,22708894,487431987,22881285,1610380753371,1610382842676,2369,WALKING
487433830,22895162,487587680,22715061,1610434748461,1610435706469,2161,CYCLING
487581394,22712405,487433187,22895709,1610460002103,1610461733667,2449,IN_BUS
487433136,22895530,487581777,22708627,1610520326919,1610521141041,2146,IN_PASSENGER_VEHICLE
487577859,22720240,487433179,22895669,1610534981159,1610535609335,2280,IN_PASSENGER_VEHICLE
487433457,22892237,487583251,22711968,1610615411623,1610615827813,2126,IN_PASSENGER_VEHICLE
487582223,22718802,487555449,22722734,1610624449510,1610626246208,412,WALKING
487557209,22719772,487580965,22716784,1610627260076,1610627548130,367,WALKING
487581726,22708933,487555578,22723087,1610641986875,1610642656398,358,WALKING
487563891,22732132,487537532,23034287,1610645362172,1610646467275,2435,IN_BUS
487542657,23010720,487582656,23006038,1610648372392,1610648705394,446,WALKING
