StartLocationLat,StartLocationLon,EndLocationLat,EndLocationLon,StartTime,EndTime,Distance,ActivityType
487433472,22895470,487580111,22717185,1622538685403,1622539408191,2221,CYCLING
487581955,22719295,487563181,22736942,1622543505554,1622545481651,260,CYCLING
487581739,22707119,487157062,22441083,1622553043264,1622554776635,7170,CYCLING
487157855,22436783,487461913,22312607,1622562312085,1622563637921,3929,CYCLING
487464155,22303597,487433523,22895679,1622568571814,1622569565572,4419,IN_PASSENGER_VEHICLE
487433530,22895526,487585521,22687159,1622575639771,1622576242226,2847,IN_PASSENGER_VEHICLE
487573429,22693987,487501170,22761636,1622576829498,1622577549380,4153,IN_PASSENGER_VEHICLE
487501380,22767170,487413023,22369405,1622578059112,1622581166328,3329,IN_PASSENGER_VEHICLE
487413102,22369066,487433636,22895937,1622586505133,1622587812894,3870,IN_PASSENGER_VEHICLE
487433509,22895627,487562875,22736357,1622626581586,1622627084585,2140,IN_PASSENGER_VEHICLE
487553161,22736956,487527857,22713054,1622630366515,1622631285071,331,IN_PASSENGER_VEHICLE
487529524,22715244,487433501,22895544,1622633238829,1622633901518,1699,IN_PASSENGER_VEHICLE
487433497,22895629,487562631,22738243,1622639017771,1622639533822,2094,IN_PASSENGER_VEHICLE
487553179,22736970,487433683,22895910,1622653238879,1622654291160,2740,IN_PASSENGER_VEHICLE
487433520,22895560,487586889,22768951,1622660613767,1622661061641,2079,IN_PASSENGER_VEHICLE
487588069,22763125,487433688,22895956,1622668482211,1622669243234,1976,IN_PASSENGER_VEHICLE
487433620,22895976,487580506,22701892,1622708955524,1622709522841,2234,IN_PASSENGER_VEHICLE
487580655,22719429,487563174,22738569,1622716486443,1622717433118,266,WALKING
487561795,22737739,487580833,22707674,1622723837706,1622724168930,533,WALKING
487580060,22706360,487704037,22776871,1622732448965,1622733343204,1750,IN_BUS
487704073,22776867,487433689,22895836,1622734889478,1622738748695,3655,IN_PASSENGER_VEHICLE
487433459,22895512,487405011,22711657,1622747960448,1622748272621,1430,IN_PASSENGER_VEHICLE
487399654,22711678,487434871,22721622,1622751132060,1622751374343,398,IN_PASSENGER_VEHICLE
487425907,22729515,487433598,22895672,1622764822563,1622765573531,1221,IN_PASSENGER_VEHICLE
487433107,22885184,487458274,22637479,1622812185150,1622812606056,1897,CYCLING
487462022,22638381,487399248,22506713,1622815976970,1622820500103,1875,CYCLING
487421208,22520819,487433524,22895632,1622824420513,1622826465028,2758,CYCLING
487433521,22895721,487559475,22645578,1622838140258,1622844327362,2315,CYCLING
487554843,22651384,487433795,22896010,1622855385442,1622856331121,2274,CYCLING
487433524,22886465,487562736,22738412,1622895102186,1622895659991,1800,IN_PASSENGER_VEHICLE
487554852,22737833,487432765,22730096,1622902965453,1622903707294,1539,IN_PASSENGER_VEHICLE
487434045,22720991,487433503,22895556,1622907236841,1622907673332,1355,IN_PASSENGER_VEHICLE
487431926,22882805,487405894,22711147,1622921414744,1622921889507,1797,IN_PASSENGER_VEHICLE
487405878,22709741,487458871,22579219,1622923669628,1622932741395,4341,IN_PASSENGER_VEHICLE
487458871,22579219,487433760,22895859,1622934328564,1622935766686,2354,IN_PASSENGER_VEHICLE
487434099,22893637,487433792,22895870,1622982284352,1622984589941,2882,IN_PASSENGER_VEHICLE
487433500,22895654,487562658,22738144,1622985557574,1622986348209,2026,CYCLING
487561249,22735884,487433501,22895553,1623001163619,1623002538912,1843,IN_PASSENGER_VEHICLE
487433507,22895424,487518982,22794345,1623003084509,1623007886148,1495,IN_PASSENGER_VEHICLE
487516103,22795900,487433666,22895879,1623011590926,1623013912339,1715,IN_PASSENGER_VEHICLE
487433454,22895409,487583238,22718366,1623049659502,1623050632121,2490,IN_PASSENGER_VEHICLE
487561689,22737875,487586950,22721387,1623060270494,1623062969482,305,WALKING
487588435,22717506,487562618,22737379,1623070852811,1623072895733,321,WALKING
487562592,22738008,487433821,22896007,1623085466577,1623088382527,1841,IN_PASSENGER_VEHICLE
487433468,22895711,487406213,22707577,1623093336641,1623095525267,1413,CYCLING
487405905,22710996,487433739,22895945,1623105119198,1623105673567,1462,IN_PASSENGER_VEHICLE
487433646,22887422,487553271,22738665,1623147646519,1623148041534,1867,IN_PASSENGER_VEHICLE
487562594,22737609,487557494,22738031,1623155850458,1623162158987,1471,IN_PASSENGER_VEHICLE
487551602,22734678,487433423,22895551,1623174195506,1623174836308,1765,IN_PASSENGER_VEHICLE
487433171,22896071,487404998,22700095,1623179150225,1623179486169,1677,IN_PASSENGER_VEHICLE
487405264,22715633,487432828,22730392,1623181835717,1623185563016,894,UNKNOWN_ACTIVITY_TYPE
487432870,22730398,487433550,22895435,1623191584301,1623192170809,1210,IN_PASSENGER_VEHICLE
487433669,22895679,487580493,22707052,1623237761953,1623238351187,2532,CYCLING
487551819,22735405,487430397,22881222,1623254602745,1623254904477,1835,CYCLING
487433458,22895883,487395015,22703100,1623266256405,1623266702662,1597,CYCLING
487394588,22704225,487431972,22895458,1623274081624,1623274892205,2908,CYCLING
487433169,22887517,487457452,22776583,1623329416544,1623332027656,857,WALKING
487451483,22834496,487556433,22736110,1623333658031,1623334922141,1595,WALKING
487556898,22736716,487432915,22730096,1623339613815,1623340889674,1381,CYCLING
487432929,22729973,487588572,22762098,1623347320368,1623349043212,1746,IN_PASSENGER_VEHICLE
487587859,22763549,487526080,22785395,1623353534468,1623358308366,705,CYCLING
487518336,22792945,487432562,22650524,1623364138528,1623367083355,1458,CYCLING
487435128,22636040,487433461,22896130,1623368501469,1623372232170,3034,CYCLING
487433947,22887795,487557839,22737164,1623416647654,1623417230051,1786,IN_PASSENGER_VEHICLE
487558460,22737093,487516785,22744518,1623424485464,1623424636839,475,IN_PASSENGER_VEHICLE
487516784,22744393,487433432,22895617,1623429446490,1623430745868,2394,CYCLING
487437233,22891968,487563144,22738887,1623432173864,1623434960022,1975,CYCLING
487563171,22737671,487433449,22896139,1623437491377,1623438037721,1852,IN_PASSENGER_VEHICLE
487433542,22895882,487562479,22738519,1623443171345,1623443701383,1928,CYCLING
487563144,22738839,487462589,22291130,1623452446851,1623454929140,4426,CYCLING
487462578,22291305,487433473,22896193,1623457864048,1623460037177,4665,IN_PASSENGER_VEHICLE
487433417,22895975,487467888,22639640,1623508209908,1623509381872,2578,CYCLING
487469676,22661885,487703005,22767070,1623511201371,1623513536274,6290,CYCLING
487709535,22784913,487705796,22774247,1623518600383,1623519593863,1190,WALKING
487705381,22776944,487395659,23134590,1623532212779,1623533389122,4544,CYCLING
487395702,23134525,487461990,22312598,1623538584069,1623543114784,6178,CYCLING
487464700,22302576,487433444,22895960,1623544446855,1623545581727,4364,IN_PASSENGER_VEHICLE
487434853,22892335,487562776,22738619,1623589194353,1623590690822,1853,CYCLING
487562524,22768189,487433404,22895640,1623603304300,1623603688521,1996,CYCLING
487437198,22897225,487512624,22771445,1623611819263,1623617694642,2240,CYCLING
487516433,22794559,487462113,22312382,1623619477995,1623623402681,4643,CYCLING
487469526,22305625,487434337,22893420,1623626952332,1623627914930,4488,IN_PASSENGER_VEHICLE
487434115,22887413,487562330,22738342,1623679239815,1623681982222,3176,IN_PASSENGER_VEHICLE
487562705,22736567,487433411,22896253,1623690147461,1623693059662,2404,IN_PASSENGER_VEHICLE
487432811,22896311,487274606,22298795,1623700237132,1623701985886,6609,CYCLING
487270185,22324092,487409945,22252220,1623708736999,1623710492483,3905,CYCLING
487419275,22246536,487434966,22893957,1623711590114,1623712573999,5542,CYCLING
487433215,22896147,487432807,22730086,1623756866616,1623760028543,1438,IN_PASSENGER_VEHICLE
487432927,22730033,487570012,22943634,1623767445877,1623768178778,2404,CYCLING
487560942,22952462,487473714,22677504,1623778420999,1623779003817,2721,CYCLING
487479049,22688740,487436421,22737479,1623779280999,1623779735999,2355,CYCLING
487432889,22730277,487433492,22895816,1623793745117,1623794490926,1493,CYCLING
487433489,22895587,487552147,23057965,1623851260587,1623852111568,1941,IN_PASSENGER_VEHICLE
487552965,23057929,487425830,22901302,1623853866119,1623854673209,2252,IN_PASSENGER_VEHICLE
487434371,22890029,487417542,22835045,1623856797502,1623856918544,444,CYCLING
487420156,22842885,487561436,22737917,1623857238635,1623858134423,1826,CYCLING
487562288,22736706,487573346,22694942,1623862619295,1623862961518,1025,CYCLING
487576832,22693941,487562299,22738287,1623864563874,1623864726788,363,CYCLING
487563144,22738887,487433434,22895556,1623865050823,1623867431970,1872,CYCLING
487433282,22896023,487583297,22711025,1623906815767,1623907587462,2404,IN_PASSENGER_VEHICLE
487577525,22697378,487528250,22714157,1623924852955,1623925154563,626,CYCLING
487526891,22721237,487588174,22762690,1623925791088,1623926044972,754,CYCLING
487563042,22737702,487433169,22896122,1623933046830,1623933437775,2101,CYCLING
487433271,22896050,487151890,22439176,1623933885107,1623934837546,5366,CYCLING
487158336,22436052,487433212,22896029,1623949021401,1623950872660,4566,IN_PASSENGER_VEHICLE
487433228,22896177,487395250,23032770,1623954013303,1623954640999,1545,CYCLING
487396310,23033192,487723936,23173495,1623963136769,1623966057872,3785,CYCLING
487723955,23173417,487433222,22896126,1623976267525,1623978422391,4859,IN_PASSENGER_VEHICLE
487433136,22896120,487562379,22782206,1624026390887,1624027369368,2240,IN_PASSENGER_VEHICLE
487562799,22782518,487433211,22896036,1624037542396,1624038394522,1664,IN_PASSENGER_VEHICLE
487435123,22890002,487588133,22762742,1624047636607,1624049017104,2055,CYCLING
487587040,22767833,487395584,23134320,1624051546279,1624052248953,3972,CYCLING
487389208,23142917,487389352,23139786,1624057021315,1624059058948,1764,CYCLING
487391943,23137371,487433214,22896194,1624060159358,1624061178801,2347,CYCLING
487433219,22896149,487565684,23061622,1624115416564,1624115996868,1908,IN_PASSENGER_VEHICLE
487564513,23061809,487433185,22896110,1624116365632,1624120429522,4622,IN_PASSENGER_VEHICLE
487434842,22889872,487830780,22787453,1624132161190,1624132997087,4466,IN_PASSENGER_VEHICLE
487831299,22788320,487555058,22650450,1624140169842,1624141199025,3234,IN_PASSENGER_VEHICLE
487555006,22650009,487433170,22896197,1624153512662,1624154241224,2275,CYCLING
487432299,22896971,487405503,22710949,1624209456622,1624212246941,1849,CYCLING
487404596,22711616,487433194,22896138,1624214470282,1624216977008,1389,CYCLING
487433214,22896030,487561465,22737435,1624291197916,1624294970084,7012,CYCLING
487561469,22737396,487433270,22896179,1624300024052,1624302662724,1840,IN_PASSENGER_VEHICLE
487434619,22893367,487158325,22435603,1624304797324,1624307782535,5674,IN_PASSENGER_VEHICLE
487158438,22435889,487434173,22891105,1624317183686,1624318070126,4537,IN_PASSENGER_VEHICLE
487433184,22896169,487553000,22738657,1624380863090,1624381352827,1775,IN_PASSENGER_VEHICLE
487561833,22738058,487433205,22896183,1624385390517,1624386614799,1841,IN_PASSENGER_VEHICLE
487433264,22896168,487485331,23132454,1624512678111,1624513572952,2059,CYCLING
487482640,23122590,487433428,22895538,1624521060086,1624521602162,1853,CYCLING
487433166,22895957,487416288,22527551,1624524007113,1624524781362,2786,IN_PASSENGER_VEHICLE
487417126,22524007,487436738,22905912,1624531171406,1624532139103,3130,IN_PASSENGER_VEHICLE
487434901,22889715,487561658,22737554,1624543499253,1624543945127,1809,CYCLING
487562732,22729339,487432562,22896906,1624547307088,1624547861381,2064,CYCLING
487433380,22895453,487394258,23032332,1624565101092,1624565911000,1481,CYCLING
487397195,23032655,487434264,22897467,1624589209018,1624589931228,1079,CYCLING
487433549,22895648,487433329,22728796,1624636279254,1624636721417,1552,CYCLING
487433594,22729368,487393821,22379390,1624637091546,1624638952407,5067,CYCLING
487393828,22379458,487434694,22731964,1624659678659,1624660302641,2624,IN_PASSENGER_VEHICLE
487433067,22729952,487435853,22893675,1624667011197,1624668042859,1472,IN_PASSENGER_VEHICLE
487433187,22896121,487636747,23941013,1624708726327,1624713400256,7996,IN_PASSENGER_VEHICLE
487637148,23942072,487433184,22896178,1624714842478,1624718401168,7995,IN_PASSENGER_VEHICLE
487434887,22889949,487432999,22730144,1624722351324,1624727207462,1195,CYCLING
487434038,22726865,487433504,22896517,1624728491013,1624729025920,1527,IN_PASSENGER_VEHICLE
487433166,22896088,487599982,22237847,1624730323275,1624731861000,7651,CYCLING
487598956,22237803,487393038,23134545,1624744954570,1624747526286,6961,IN_PASSENGER_VEHICLE
487393630,23135682,487433202,22896107,1624753616689,1624754458460,2314,CYCLING
487433184,22896189,488189251,23195132,1624796675498,1624799175232,8687,CYCLING
488187197,23190359,487433243,22896224,1624801436072,1624803335015,8657,IN_PASSENGER_VEHICLE
487433191,22896183,487556268,22738930,1624807263054,1624807923995,1962,IN_PASSENGER_VEHICLE
487552738,22738225,487588297,22762387,1624816182701,1624817510266,4002,IN_PASSENGER_VEHICLE
487585867,22773854,487433346,22896153,1624828584988,1624829922090,2466,CYCLING
487433357,22895723,487553616,22739015,1624885953854,1624886484788,1868,CYCLING
487562169,22738744,487433220,22896104,1624900813171,1624901664155,1867,CYCLING
487552904,23011445,488532437,23457826,1624904873365,1624906340552,11539,IN_TRAIN
488532437,23457826,488534539,23401617,1624906340552,1624906840135,541,WALKING
488537677,23380566,488574710,23459620,1624917443322,1624919502000,1364,WALKING
488565569,23467458,487803219,23122217,1624919782945,1624922046999,8977,IN_TRAIN
487798714,23134111,487531784,23021990,1624922180999,1624923502829,3079,IN_TRAIN
487422102,22526620,487579112,22693638,1624929609034,1624930264455,2132,CYCLING
487582659,22672948,487436530,22916382,1624932623512,1624933446558,2413,CYCLING
487434584,22896239,487585324,22996722,1624985408821,1624987627050,1862,IN_PASSENGER_VEHICLE
487586405,22997424,487433304,22896467,1624989526920,1624994285434,2024,IN_PASSENGER_VEHICLE
487433450,22895268,487588158,22762646,1624998100060,1624998730124,2009,IN_PASSENGER_VEHICLE
487588234,22762666,487433476,22895572,1625012358660,1625013418829,1980,IN_PASSENGER_VEHICLE
487433645,22895933,487433427,22895692,1625058394620,1625061299703,3542,IN_PASSENGER_VEHICLE
487433306,22886740,487451743,22834019,1625069719043,1625069827143,651,CYCLING
487456254,22835352,487561507,22737358,1625070685635,1625073012183,4344,CYCLING
487561224,22738474,487433471,22895536,1625075062308,1625075841440,1880,CYCLING
487433347,22895369,487588112,22762690,1625082034260,1625082952308,2275,IN_PASSENGER_VEHICLE
487586417,22769924,487528293,22951217,1625090282645,1625090907409,1601,CYCLING
487528314,22951253,487588190,22762582,1625095921170,1625096515325,1555,CYCLING
